# BUSCO version is: 5.4.1 
# The lineage dataset is: mycoplasmatales_odb10 (Creation date: 2020-03-06, number of genomes: 79, number of BUSCOs: 174)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
17at2085	Complete	JXQB01000001.1	321966	325733	-	1836.6	1278
53at2085	Complete	JXQB01000001.1	325745	329608	-	1731.1	1230
56at2085	Complete	JXQB01000001.1	53546	57985	+	1390.5	1080
78at2085	Complete	JXQB01000001.1	877390	880356	-	859.0	1003
111at2085	Complete	JXQB01000001.1	593247	596087	-	1160.4	821
118at2085	Complete	JXQB01000001.1	834706	836850	+	150.8	507
147at2085	Complete	JXQB01000001.1	840179	842518	+	677.5	488
148at2085	Complete	JXQB01000001.1	226945	229014	-	1013.2	574
157at2085	Complete	JXQB01000001.1	981361	984087	-	736.7	666
163at2085	Complete	JXQB01000001.1	215613	218303	+	760.2	675
218at2085	Complete	JXQB01000001.1	655811	657979	+	444.7	528
244at2085	Complete	JXQB01000001.1	572413	574344	-	465.5	464
406at2085	Complete	JXQB01000001.1	745331	747166	-	622.7	487
462at2085	Complete	JXQB01000001.1	703379	705793	+	764.9	660
482at2085	Complete	JXQB01000001.1	292391	294505	+	478.8	563
492at2085	Complete	JXQB01000001.1	1011264	1013039	-	763.2	510
501at2085	Complete	JXQB01000001.1	74483	76285	-	809.4	524
533at2085	Complete	JXQB01000001.1	492004	493893	+	745.1	523
534at2085	Complete	JXQB01000001.1	99072	101690	+	865.9	744
539at2085	Complete	JXQB01000001.1	149086	151005	-	747.9	539
543at2085	Complete	JXQB01000001.1	724919	727879	+	550.4	629
584at2085	Complete	JXQB01000001.1	465828	467837	-	345.9	453
697at2085	Complete	JXQB01000001.1	620184	621779	-	469.2	420
699at2085	Complete	JXQB01000001.1	596096	598093	-	732.0	567
705at2085	Complete	JXQB01000001.1	225626	226813	-	590.0	341
759at2085	Complete	JXQB01000001.1	520172	521674	+	530.1	367
801at2085	Complete	JXQB01000001.1	61508	63370	+	573.8	485
812at2085	Complete	JXQB01000001.1	472335	473687	-	264.5	303
