#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CP000123.1_203       -            331 2695at2085           -            231   1.5e-28   95.3  33.5   1   1   1.2e-28   2.6e-26   88.0  33.5     2   225    65   314    64   320 0.78 # 246023 # 247015 # -1 # ID=1_203;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.260
CP000123.1_202       -           1042 2695at2085           -            231   3.6e-17   58.1  30.3   1   1   1.7e-17   3.6e-15   51.5  30.3    25   224    48   244     4   251 0.80 # 242913 # 246038 # -1 # ID=1_202;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.223
CP000123.1_481       -            697 2695at2085           -            231   1.8e-06   23.1  20.6   1   3    0.0026      0.54    5.2  24.0    32   167    76   221    29   237 0.73 # 576187 # 578277 # -1 # ID=1_481;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.221
CP000123.1_481       -            697 2695at2085           -            231   1.8e-06   23.1  20.6   2   3         4   8.4e+02   -5.7   9.4   158   221   305   370   258   385 0.48 # 576187 # 578277 # -1 # ID=1_481;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.221
CP000123.1_481       -            697 2695at2085           -            231   1.8e-06   23.1  20.6   3   3   8.5e-09   1.8e-06   23.1  20.6    33   168   402   542   362   547 0.65 # 576187 # 578277 # -1 # ID=1_481;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.221
CP000123.1_450       -            335 2695at2085           -            231       3.7    2.4  36.9   1   4    0.0042      0.88    4.5   2.2     2    33    29    60    28    69 0.82 # 538965 # 539969 # -1 # ID=1_450;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.185
CP000123.1_450       -            335 2695at2085           -            231       3.7    2.4  36.9   2   4   0.00014     0.029    9.3  18.3    30   146    80   200    71   236 0.80 # 538965 # 539969 # -1 # ID=1_450;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.185
CP000123.1_450       -            335 2695at2085           -            231       3.7    2.4  36.9   3   4      0.19        40   -1.0   0.3    90   114   214   238   204   250 0.56 # 538965 # 539969 # -1 # ID=1_450;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.185
CP000123.1_450       -            335 2695at2085           -            231       3.7    2.4  36.9   4   4       0.2        42   -1.0   0.7     6    34   289   317   285   323 0.51 # 538965 # 539969 # -1 # ID=1_450;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.185
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/2695at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_ATCC27343/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_ATCC27343/run_mycoplasmatales_odb10/hmmer_output/2695at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/2695at2085.hmm /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_ATCC27343/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Sun Jul 31 23:54:12 2022
# [ok]
