#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
LBMF01000003.1_59    -            601 501at2085            -            526  5.9e-245  809.4  12.9   1   1    6e-247  7.8e-245  809.0  12.9     1   525     1   598     1   599 0.92 # 76217 # 78019 # 1 # ID=3_59;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.268
LBMF01000002.1_106   -            690 501at2085            -            526     2e-47  157.6   0.3   1   4   1.5e-35     2e-33  111.4   0.0     5   138     9   146     6   193 0.88 # 127225 # 129294 # 1 # ID=2_106;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.318
LBMF01000002.1_106   -            690 501at2085            -            526     2e-47  157.6   0.3   2   4       1.5   1.9e+02   -4.1   0.0   152   173   260   281   253   282 0.88 # 127225 # 129294 # 1 # ID=2_106;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.318
LBMF01000002.1_106   -            690 501at2085            -            526     2e-47  157.6   0.3   3   4   6.5e-13   8.5e-11   36.7   0.0   172   343   304   488   293   509 0.77 # 127225 # 129294 # 1 # ID=2_106;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.318
LBMF01000002.1_106   -            690 501at2085            -            526     2e-47  157.6   0.3   4   4    0.0019      0.25    5.5   0.0   346   410   603   673   577   680 0.75 # 127225 # 129294 # 1 # ID=2_106;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.318
LBMF01000002.1_156   -            610 501at2085            -            526   4.3e-37  123.4  12.3   1   2   2.6e-36   3.4e-34  113.9   8.6     1   144     1   147     1   306 0.80 # 195749 # 197578 # -1 # ID=2_156;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.269
LBMF01000002.1_156   -            610 501at2085            -            526   4.3e-37  123.4  12.3   2   2   0.00018     0.023    8.9   0.1   299   373   359   435   331   489 0.77 # 195749 # 197578 # -1 # ID=2_156;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.269
LBMF01000002.1_107   -            396 501at2085            -            526   6.1e-21   70.2   0.3   1   1   3.7e-22   4.8e-20   67.2   0.3     8   210    14   247    11   317 0.73 # 129426 # 130613 # 1 # ID=2_107;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.358
LBMF01000003.1_70    -            621 501at2085            -            526   1.1e-16   56.1   2.7   1   2   8.7e-19   1.1e-16   56.1   2.7    10   176   125   276   118   331 0.79 # 89132 # 90994 # -1 # ID=3_70;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.277
LBMF01000003.1_70    -            621 501at2085            -            526   1.1e-16   56.1   2.7   2   2      0.13        17   -0.6   0.5   375   375   495   495   411   618 0.59 # 89132 # 90994 # -1 # ID=3_70;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.277
LBMF01000004.1_170   -            436 501at2085            -            526   1.8e-08   29.0  12.2   1   2   4.1e-06   0.00054   14.2   1.5    66   175    50   168     2   175 0.82 # 192192 # 193499 # -1 # ID=4_170;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.223
LBMF01000004.1_170   -            436 501at2085            -            526   1.8e-08   29.0  12.2   2   2   9.6e-08   1.2e-05   19.6   3.6    50   167   205   343   170   365 0.68 # 192192 # 193499 # -1 # ID=4_170;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.223
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14DL0024/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14DL0024/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14DL0024/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Mon Aug  1 00:26:49 2022
# [ok]
