# BUSCO version is: 5.4.1 
# The lineage dataset is: mycoplasmatales_odb10 (Creation date: 2020-03-06, number of genomes: 79, number of BUSCOs: 174)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
17at2085	Complete	LBMF01000002.1	30401	34168	+	1836.0	1278
53at2085	Complete	LBMF01000002.1	26526	30389	+	1731.1	1230
56at2085	Complete	LBMF01000003.1	94517	98956	-	1398.2	1039
78at2085	Complete	LBMF01000004.1	113635	116601	+	857.2	974
111at2085	Complete	LBMF01000007.1	141859	144699	+	1160.6	841
118at2085	Complete	LBMF01000004.1	157137	159281	-	146.0	505
147at2085	Complete	LBMF01000004.1	151469	153808	-	675.7	490
148at2085	Complete	LBMF01000002.1	127225	129294	+	1013.6	584
157at2085	Complete	LBMF01000004.1	15832	18558	+	736.5	662
163at2085	Complete	LBMF01000002.1	137987	140677	-	760.8	674
218at2085	Complete	LBMF01000007.1	78649	80817	-	444.7	519
244at2085	Complete	LBMF01000007.1	162609	164540	+	464.0	464
406at2085	Complete	LBMF01000006.1	37953	39788	+	622.7	487
462at2085	Complete	LBMF01000007.1	30798	33212	-	765.0	660
482at2085	Complete	LBMF01000002.1	61630	63744	-	478.8	563
492at2085	Complete	LBMF01000003.1	147697	149472	+	763.2	510
501at2085	Complete	LBMF01000003.1	76217	78019	+	809.4	524
533at2085	Complete	LBMF01000001.1	29606	31495	-	745.1	511
534at2085	Complete	LBMF01000003.1	49468	52086	-	864.5	751
539at2085	Duplicated	LBMF01000002.1	209505	211424	+	745.7	539
539at2085	Duplicated	LBMF01000003.1	164	2083	+	745.7	539
543at2085	Complete	LBMF01000007.1	8721	11681	-	550.0	610
584at2085	Complete	LBMF01000001.1	55662	57671	+	346.0	459
697at2085	Complete	LBMF01000007.1	114584	116179	+	469.6	420
699at2085	Complete	LBMF01000007.1	139853	141850	+	731.9	567
705at2085	Complete	LBMF01000002.1	129426	130613	+	590.0	341
759at2085	Complete	LBMF01000001.1	6360	7862	-	531.0	367
801at2085	Complete	LBMF01000003.1	89132	90994	-	573.9	484
812at2085	Complete	LBMF01000001.1	49810	51162	+	264.8	303
886at2085	Complete	LBMF01000002.1	102486	103937	+	537.4	430
887at2085	Complete	LBMF01000002.1	42104	43681	+	670.3	440
908at2085	Complete	LBMF01000003.1	78877	80604	-	507.2	420
913at2085	Complete	LBMF01000001.1	95036	96565	+	469.4	392
946at2085	Complete	LBMF01000003.1	45946	47697	-	381.0	439
955at2085	Complete	LBMF01000004.1	131538	132908	-	474.2	349
1041at2085	Complete	LBMF01000007.1	72321	74327	-	462.5	496
1043at2085	Complete	LBMF01000002.1	44534	45964	+	699.3	398
1064at2085	Complete	LBMF01000002.1	187805	188860	-	388.7	303
1140at2085	Complete	LBMF01000004.1	192192	193499	-	392.1	346
1146at2085	Complete	LBMF01000004.1	184214	185557	-	446.8	373
1180at2085	Complete	LBMF01000007.1	1746	2762	-	365.6	265
1182at2085	Complete	LBMF01000007.1	69125	70564	-	404.6	398
1184at2085	Complete	LBMF01000007.1	199831	201195	+	454.2	348
1307at2085	Complete	LBMF01000003.1	154663	156327	+	390.0	399
1328at2085	Complete	LBMF01000001.1	9253	10521	-	404.2	325
1338at2085	Complete	LBMF01000007.1	194964	196322	-	338.1	359
1371at2085	Complete	LBMF01000004.1	135129	136913	-	163.4	516
1384at2085	Complete	LBMF01000007.1	49832	51280	-	440.9	380
1410at2085	Complete	LBMF01000003.1	41312	43066	-	386.1	445
1416at2085	Complete	LBMF01000003.1	91562	93238	-	194.7	367
1451at2085	Complete	LBMF01000004.1	82733	84016	-	365.6	329
1484at2085	Complete	LBMF01000007.1	401	1615	-	431.5	332
1490at2085	Complete	LBMF01000002.1	70730	72058	+	290.2	402
1519at2085	Complete	LBMF01000007.1	46113	47066	-	256.2	247
1529at2085	Complete	LBMF01000003.1	73245	74669	+	525.2	394
1617at2085	Complete	LBMF01000007.1	57807	58652	-	433.2	244
1633at2085	Complete	LBMF01000004.1	101374	102648	-	294.7	392
1647at2085	Complete	LBMF01000003.1	100191	101267	-	318.7	243
1679at2085	Complete	LBMF01000004.1	180653	181603	-	268.1	257
1683at2085	Complete	LBMF01000007.1	178263	179357	-	352.0	288
1693at2085	Complete	LBMF01000002.1	68253	69287	+	324.5	256
1770at2085	Complete	LBMF01000004.1	19156	20088	+	262.9	235
1797at2085	Complete	LBMF01000002.1	118793	119884	+	412.1	334
1813at2085	Complete	LBMF01000004.1	87150	88388	-	266.7	308
1827at2085	Complete	LBMF01000002.1	199596	200951	+	561.1	381
1830at2085	Complete	LBMF01000002.1	74474	75799	+	330.1	324
1851at2085	Complete	LBMF01000004.1	168295	169596	-	414.9	365
1886at2085	Complete	LBMF01000007.1	134445	135245	-	150.8	181
1930at2085	Complete	LBMF01000004.1	26226	27179	+	182.5	192
1978at2085	Complete	LBMF01000004.1	45670	46593	-	327.3	275
1992at2085	Complete	LBMF01000003.1	146011	147033	+	204.1	257
1993at2085	Complete	LBMF01000003.1	101425	102435	+	352.4	275
2000at2085	Complete	LBMF01000007.1	14598	15842	-	379.9	355
2014at2085	Complete	LBMF01000003.1	150875	151750	+	289.9	218
2086at2085	Complete	LBMF01000007.1	70566	72023	-	360.9	335
2092at2085	Complete	LBMF01000004.1	160017	161144	-	418.6	295
2116at2085	Complete	LBMF01000004.1	129687	131501	-	267.4	342
2118at2085	Complete	LBMF01000004.1	6823	9207	+	386.8	651
2170at2085	Complete	LBMF01000007.1	66680	68281	-	301.5	371
2183at2085	Complete	LBMF01000002.1	207798	209234	+	499.9	355
2279at2085	Complete	LBMF01000002.1	18086	18955	-	265.3	222
2313at2085	Complete	LBMF01000004.1	98914	100077	-	361.3	273
2353at2085	Complete	LBMF01000002.1	109645	110613	+	311.6	223
2413at2085	Complete	LBMF01000002.1	23348	24028	+	227.5	174
2451at2085	Complete	LBMF01000004.1	187268	188305	-	420.6	267
2452at2085	Complete	LBMF01000004.1	5762	6814	+	253.0	251
2529at2085	Complete	LBMF01000003.1	80613	81857	-	290.5	280
2558at2085	Complete	LBMF01000004.1	100288	101061	-	215.4	214
2568at2085	Complete	LBMF01000007.1	56441	57142	-	240.1	186
2571at2085	Complete	LBMF01000004.1	193499	194167	-	195.8	178
2577at2085	Complete	LBMF01000003.1	151762	152649	+	221.8	242
2636at2085	Complete	LBMF01000007.1	151483	152412	+	169.9	213
2656at2085	Complete	LBMF01000004.1	133721	134626	-	234.3	264
2666at2085	Complete	LBMF01000002.1	153531	154412	+	231.4	252
2694at2085	Complete	LBMF01000007.1	113006	113752	+	208.5	188
2695at2085	Missing
2804at2085	Complete	LBMF01000007.1	59628	60299	-	283.3	209
2868at2085	Complete	LBMF01000007.1	196859	197818	+	291.4	246
2930at2085	Complete	LBMF01000004.1	10428	11357	+	317.3	274
2936at2085	Complete	LBMF01000003.1	19057	19683	-	250.2	196
2961at2085	Complete	LBMF01000007.1	48307	49062	-	220.2	202
2972at2085	Complete	LBMF01000004.1	182090	182812	-	232.6	187
2991at2085	Complete	LBMF01000002.1	189817	190362	-	126.0	107
3001at2085	Complete	LBMF01000004.1	166172	167275	-	255.3	267
3036at2085	Complete	LBMF01000007.1	54067	54609	-	244.3	157
3066at2085	Complete	LBMF01000004.1	155550	156104	-	194.5	158
3112at2085	Complete	LBMF01000007.1	180290	180910	-	132.4	159
3146at2085	Complete	LBMF01000007.1	149100	150032	+	275.5	234
3195at2085	Complete	LBMF01000002.1	43683	44525	+	181.5	209
3266at2085	Complete	LBMF01000007.1	42478	43488	-	237.1	224
3273at2085	Complete	LBMF01000004.1	29960	30850	+	220.5	199
3282at2085	Complete	LBMF01000007.1	76334	77242	-	175.3	206
3319at2085	Complete	LBMF01000007.1	5142	5966	-	236.1	228
3342at2085	Complete	LBMF01000004.1	39998	41224	+	266.4	328
3403at2085	Complete	LBMF01000002.1	77088	77732	+	189.4	177
3406at2085	Complete	LBMF01000003.1	153389	154102	+	248.1	207
3445at2085	Complete	LBMF01000003.1	154113	154661	+	133.5	139
3486at2085	Complete	LBMF01000002.1	38607	39230	+	212.2	168
3487at2085	Complete	LBMF01000004.1	189814	190323	+	101.2	123
3504at2085	Complete	LBMF01000002.1	75801	76535	+	170.2	169
3517at2085	Complete	LBMF01000002.1	126219	126638	+	206.0	117
3531at2085	Complete	LBMF01000002.1	22920	23348	+	222.2	135
3550at2085	Complete	LBMF01000004.1	195968	196528	+	154.1	158
3570at2085	Complete	LBMF01000002.1	118161	118790	+	177.0	156
3640at2085	Complete	LBMF01000002.1	24261	24758	+	142.6	125
3656at2085	Complete	LBMF01000002.1	119877	120725	+	112.1	193
3687at2085	Complete	LBMF01000004.1	111643	112341	+	144.3	160
3833at2085	Complete	LBMF01000007.1	52896	53438	-	215.3	160
3843at2085	Complete	LBMF01000003.1	53466	54368	-	205.3	220
3848at2085	Complete	LBMF01000007.1	126102	126764	+	168.7	173
3895at2085	Complete	LBMF01000007.1	49062	49703	-	165.2	164
3904at2085	Complete	LBMF01000004.1	153927	155213	-	302.7	337
3914at2085	Complete	LBMF01000007.1	56025	56438	-	178.6	117
