#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JFDO01000003.1_55    -            601 501at2085            -            526  6.7e-245  809.4  12.9   1   1    6e-247  8.8e-245  809.0  12.9     1   525     1   598     1   599 0.92 # 78358 # 80160 # -1 # ID=3_55;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.270
JFDO01000004.1_111   -            690 501at2085            -            526   2.2e-47  157.6   0.3   1   4   1.5e-35   2.2e-33  111.4   0.0     5   138     9   146     6   193 0.88 # 137742 # 139811 # -1 # ID=4_111;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.317
JFDO01000004.1_111   -            690 501at2085            -            526   2.2e-47  157.6   0.3   2   4       1.5   2.1e+02   -4.1   0.0   152   173   260   281   253   282 0.88 # 137742 # 139811 # -1 # ID=4_111;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.317
JFDO01000004.1_111   -            690 501at2085            -            526   2.2e-47  157.6   0.3   3   4   6.5e-13   9.6e-11   36.7   0.0   172   343   304   488   293   509 0.77 # 137742 # 139811 # -1 # ID=4_111;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.317
JFDO01000004.1_111   -            690 501at2085            -            526   2.2e-47  157.6   0.3   4   4    0.0019      0.28    5.5   0.0   346   410   603   673   577   680 0.75 # 137742 # 139811 # -1 # ID=4_111;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.317
JFDO01000004.1_59    -            610 501at2085            -            526   4.9e-37  123.4  12.0   1   2   2.4e-36   3.6e-34  114.0   8.3     1   144     1   147     1   306 0.83 # 69048 # 70877 # 1 # ID=4_59;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.269
JFDO01000004.1_59    -            610 501at2085            -            526   4.9e-37  123.4  12.0   2   2   0.00018     0.026    8.9   0.1   299   373   359   435   331   489 0.77 # 69048 # 70877 # 1 # ID=4_59;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.269
JFDO01000004.1_110   -            396 501at2085            -            526   6.9e-21   70.2   0.3   1   1   3.7e-22   5.4e-20   67.2   0.3     8   210    14   247    11   317 0.73 # 136423 # 137610 # -1 # ID=4_110;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.360
JFDO01000003.1_44    -            621 501at2085            -            526   1.3e-16   56.1   2.7   1   3   8.7e-19   1.3e-16   56.1   2.7    10   176   125   276   118   331 0.79 # 65381 # 67243 # 1 # ID=3_44;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.278
JFDO01000003.1_44    -            621 501at2085            -            526   1.3e-16   56.1   2.7   2   3      0.33        48   -1.9   0.1   120   284   417   446   398   460 0.53 # 65381 # 67243 # 1 # ID=3_44;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.278
JFDO01000003.1_44    -            621 501at2085            -            526   1.3e-16   56.1   2.7   3   3      0.14        21   -0.7   0.4   375   375   495   495   420   617 0.62 # 65381 # 67243 # 1 # ID=3_44;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.278
JFDO01000017.1_84    -            436 501at2085            -            526     3e-08   28.4  13.7   1   2   6.1e-06    0.0009   13.7   2.6    64   175    48   168     1   175 0.80 # 96087 # 97394 # -1 # ID=17_84;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.226
JFDO01000017.1_84    -            436 501at2085            -            526     3e-08   28.4  13.7   2   2     1e-07   1.5e-05   19.6   3.6    50   167   205   343   171   365 0.68 # 96087 # 97394 # -1 # ID=17_84;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.226
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14232/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14232/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14232/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Mon Aug  1 00:26:24 2022
# [ok]
