# BUSCO version is: 5.4.1 
# The lineage dataset is: mycoplasmatales_odb10 (Creation date: 2020-03-06, number of genomes: 79, number of BUSCOs: 174)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
17at2085	Complete	JFDO01000004.1	236066	239833	-	1836.6	1278
53at2085	Complete	JFDO01000004.1	239845	243708	-	1731.1	1230
56at2085	Complete	JFDO01000003.1	57419	61858	+	1391.2	1060
78at2085	Complete	JFDO01000017.1	19465	22431	+	858.3	993
111at2085	Complete	JFDO01000033.1	17749	20589	+	1161.7	828
118at2085	Complete	JFDO01000017.1	62974	65118	-	148.7	507
147at2085	Complete	JFDO01000017.1	57306	59645	-	677.0	490
148at2085	Complete	JFDO01000004.1	137742	139811	-	1013.6	584
157at2085	Complete	JFDO01000016.1	15331	18057	+	737.0	668
163at2085	Complete	JFDO01000004.1	126546	129236	+	761.5	674
218at2085	Complete	JFDO01000026.1	50394	52562	-	440.1	523
244at2085	Complete	JFDO01000034.1	8452	10383	+	463.8	464
406at2085	Complete	JFDO01000024.1	32779	34614	+	622.7	487
462at2085	Complete	JFDO01000026.1	2520	4934	-	765.8	660
482at2085	Complete	JFDO01000004.1	206519	208633	+	477.2	563
492at2085	Complete	JFDO01000003.1	6933	8708	-	763.2	510
501at2085	Complete	JFDO01000003.1	78358	80160	-	809.4	524
533at2085	Complete	JFDO01000011.1	34286	36175	+	746.7	521
534at2085	Complete	JFDO01000004.1	7615	10233	+	863.8	751
539at2085	Complete	JFDO01000004.1	55204	57123	-	747.6	539
543at2085	Complete	JFDO01000025.1	8524	11484	-	548.6	609
584at2085	Complete	JFDO01000011.1	8097	10106	-	345.4	443
697at2085	Complete	JFDO01000031.1	2487	4082	+	468.4	420
699at2085	Complete	JFDO01000033.1	15743	17740	+	734.1	567
705at2085	Complete	JFDO01000004.1	136423	137610	-	590.0	341
759at2085	Complete	JFDO01000015.1	7185	8687	+	531.1	367
801at2085	Complete	JFDO01000003.1	65381	67243	+	574.0	485
812at2085	Complete	JFDO01000011.1	14607	15959	-	265.1	303
886at2085	Complete	JFDO01000004.1	166316	167767	-	537.9	431
887at2085	Complete	JFDO01000004.1	226553	228130	-	668.2	440
908at2085	Complete	JFDO01000003.1	75773	77500	+	507.0	421
913at2085	Complete	JFDO01000007.1	7038	8567	-	470.3	394
946at2085	Complete	JFDO01000004.1	12004	13755	+	380.4	437
955at2085	Complete	JFDO01000017.1	37359	38729	-	474.2	349
1041at2085	Complete	JFDO01000026.1	44066	46072	-	461.5	500
