#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
FR668087.1_430       -            331 2695at2085           -            231   2.5e-28   94.7  33.3   1   1     2e-28   4.5e-26   87.3  33.3     2   225    65   314    64   320 0.77 # 531272 # 532264 # -1 # ID=1_430;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.267
FR668087.1_429       -           1042 2695at2085           -            231   3.2e-17   58.4  30.6   1   1   1.3e-17   2.9e-15   51.9  30.6    25   224    48   244     4   252 0.80 # 528162 # 531287 # -1 # ID=1_429;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.228
FR668087.1_289       -            697 2695at2085           -            231   2.7e-06   22.6  23.7   1   4      0.42        94   -2.1   1.2   213   224    30    41    12    56 0.42 # 346770 # 348860 # -1 # ID=1_289;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.224
FR668087.1_289       -            697 2695at2085           -            231   2.7e-06   22.6  23.7   2   4    0.0015      0.33    6.0  23.6    37   167    79   221    28   233 0.73 # 346770 # 348860 # -1 # ID=1_289;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.224
FR668087.1_289       -            697 2695at2085           -            231   2.7e-06   22.6  23.7   3   4         4     9e+02   -8.1  13.5    37   121   276   370   258   391 0.51 # 346770 # 348860 # -1 # ID=1_289;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.224
FR668087.1_289       -            697 2695at2085           -            231   2.7e-06   22.6  23.7   4   4   1.2e-08   2.7e-06   22.6  23.7     2   168   363   542   362   547 0.69 # 346770 # 348860 # -1 # ID=1_289;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.224
FR668087.1_257       -            338 2695at2085           -            231     0.085    7.9  34.3   1   3    0.0037      0.84    4.6   1.9     2    33    32    63    31    72 0.83 # 307797 # 308810 # -1 # ID=1_257;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.194
FR668087.1_257       -            338 2695at2085           -            231     0.085    7.9  34.3   2   3   4.2e-06   0.00094   14.3  16.5    30   145    83   202    74   239 0.82 # 307797 # 308810 # -1 # ID=1_257;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.194
FR668087.1_257       -            338 2695at2085           -            231     0.085    7.9  34.3   3   3      0.14        31   -0.5   0.6     8   229   294   320   287   326 0.49 # 307797 # 308810 # -1 # ID=1_257;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.194
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/2695at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco_out/outBusco/M.leachii_990146/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco_out/outBusco/M.leachii_990146/run_mycoplasmatales_odb10/hmmer_output/2695at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/2695at2085.hmm /disk3/default/V2/admin/core/data/myco_out/outBusco/M.leachii_990146/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Mon Aug  1 00:28:28 2022
# [ok]
