#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JFDO01000004.1_71    -            331 2695at2085           -            231   1.6e-28   95.3  33.5   1   1   1.2e-28   2.7e-26   88.0  33.5     2   225    65   314    64   320 0.78 # 78821 # 79813 # 1 # ID=4_71;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.257
JFDO01000004.1_72    -           1037 2695at2085           -            231   3.7e-17   58.1  30.3   1   1   1.7e-17   3.7e-15   51.5  30.3    25   224    48   244     4   251 0.80 # 79798 # 82908 # 1 # ID=4_72;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.223
JFDO01000017.1_12    -            697 2695at2085           -            231   2.7e-06   22.6  21.0   1   4      0.42        93   -2.1   1.2    42    53    34    42    13    56 0.43 # 10029 # 12119 # -1 # ID=17_12;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.224
JFDO01000017.1_12    -            697 2695at2085           -            231   2.7e-06   22.6  21.0   2   4    0.0032      0.71    4.8  24.4    37   167    79   221    28   235 0.73 # 10029 # 12119 # -1 # ID=17_12;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.224
JFDO01000017.1_12    -            697 2695at2085           -            231   2.7e-06   22.6  21.0   3   4       2.9   6.3e+02   -4.8   6.9   159   224   306   373   291   383 0.59 # 10029 # 12119 # -1 # ID=17_12;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.224
JFDO01000017.1_12    -            697 2695at2085           -            231   2.7e-06   22.6  21.0   4   4   1.2e-08   2.7e-06   22.6  21.0    34   168   403   542   362   547 0.67 # 10029 # 12119 # -1 # ID=17_12;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.224
JFDO01000016.1_66    -            335 2695at2085           -            231       1.6    3.6  35.6   1   3    0.0046         1    4.3   1.9     2    33    29    60    28    69 0.82 # 67616 # 68620 # -1 # ID=16_66;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.186
JFDO01000016.1_66    -            335 2695at2085           -            231       1.6    3.6  35.6   2   3   6.2e-05     0.014   10.4  17.6    30   145    80   199    71   236 0.80 # 67616 # 68620 # -1 # ID=16_66;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.186
JFDO01000016.1_66    -            335 2695at2085           -            231       1.6    3.6  35.6   3   3       0.2        43   -1.0   0.7     6    34   289   317   285   323 0.51 # 67616 # 68620 # -1 # ID=16_66;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.186
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/2695at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_14232/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_14232/run_mycoplasmatales_odb10/hmmer_output/2695at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/2695at2085.hmm /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_14232/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Sun Jul 31 23:53:21 2022
# [ok]
