#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CP000123.1_325       -            601 501at2085            -            526  6.4e-245  809.4  12.9   1   1    6e-247  8.4e-245  809.0  12.9     1   525     1   598     1   599 0.92 # 384137 # 385939 # 1 # ID=1_325;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.271
CP000123.1_153       -            690 501at2085            -            526   3.5e-47  156.9   0.3   1   4   2.5e-35   3.4e-33  110.7   0.0     5   138     9   146     6   189 0.88 # 181679 # 183748 # 1 # ID=1_153;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.320
CP000123.1_153       -            690 501at2085            -            526   3.5e-47  156.9   0.3   2   4       1.4     2e+02   -4.0   0.0   152   173   260   281   252   282 0.88 # 181679 # 183748 # 1 # ID=1_153;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.320
CP000123.1_153       -            690 501at2085            -            526   3.5e-47  156.9   0.3   3   4   6.5e-13   9.2e-11   36.7   0.0   172   343   304   488   293   509 0.77 # 181679 # 183748 # 1 # ID=1_153;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.320
CP000123.1_153       -            690 501at2085            -            526   3.5e-47  156.9   0.3   4   4    0.0019      0.27    5.5   0.0   346   410   603   673   577   680 0.75 # 181679 # 183748 # 1 # ID=1_153;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.320
CP000123.1_213       -            610 501at2085            -            526   6.8e-37  122.9  12.6   1   2   3.8e-36   5.3e-34  113.4   8.9     1   144     1   147     1   306 0.80 # 253143 # 254972 # -1 # ID=1_213;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.270
CP000123.1_213       -            610 501at2085            -            526   6.8e-37  122.9  12.6   2   2   0.00018     0.025    8.9   0.1   299   373   359   435   331   489 0.77 # 253143 # 254972 # -1 # ID=1_213;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.270
CP000123.1_154       -            396 501at2085            -            526   6.6e-21   70.2   0.3   1   1   3.7e-22   5.1e-20   67.2   0.3     8   210    14   247    11   317 0.73 # 183880 # 185067 # 1 # ID=1_154;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.358
CP000123.1_336       -            621 501at2085            -            526   1.2e-16   56.1   2.7   1   3   8.7e-19   1.2e-16   56.1   2.7    10   176   125   276   118   331 0.79 # 397049 # 398911 # -1 # ID=1_336;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.278
CP000123.1_336       -            621 501at2085            -            526   1.2e-16   56.1   2.7   2   3      0.33        46   -1.9   0.1   120   284   417   446   398   460 0.53 # 397049 # 398911 # -1 # ID=1_336;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.278
CP000123.1_336       -            621 501at2085            -            526   1.2e-16   56.1   2.7   3   3      0.14        20   -0.7   0.4   375   375   495   495   420   617 0.62 # 397049 # 398911 # -1 # ID=1_336;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.278
CP000123.1_572       -            436 501at2085            -            526   2.8e-08   28.5  12.8   1   2   5.7e-06    0.0008   13.8   2.1    66   175    50   168     2   175 0.81 # 688308 # 689615 # -1 # ID=1_572;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.226
CP000123.1_572       -            436 501at2085            -            526   2.8e-08   28.5  12.8   2   2   8.7e-08   1.2e-05   19.8   3.4    50   167   205   343   171   364 0.68 # 688308 # 689615 # -1 # ID=1_572;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.226
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_ATCC27343/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_ATCC27343/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_ATCC27343/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Sun Jul 31 23:54:15 2022
# [ok]
