#                                                                                                                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                                                                                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                                                                                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_8_18  -            317 1679at2085           -            265   2.7e-81  268.3  14.0   1   1   3.2e-83   3.4e-81  268.0  14.0     3   260     3   277     1   287 0.88 # 16149 # 17099 # -1 # ID=8_18;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.236
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_8_33  -            436 1679at2085           -            265   5.9e-28   93.5  26.4   1   3     1e-15   1.1e-13   46.7   0.2   122   176     6    64     1    78 0.82 # 27691 # 28998 # -1 # ID=8_33;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.226
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_8_33  -            436 1679at2085           -            265   5.9e-28   93.5  26.4   2   3   4.2e-13   4.5e-11   38.1   8.8    23   173    80   232    70   243 0.76 # 27691 # 28998 # -1 # ID=8_33;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.226
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_8_33  -            436 1679at2085           -            265   5.9e-28   93.5  26.4   3   3   9.5e-07    0.0001   17.3   5.3    23   109   254   352   244   367 0.77 # 27691 # 28998 # -1 # ID=8_33;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.226
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_24_10 -            453 1679at2085           -            265   1.9e-13   46.0  19.5   1   2   2.8e-12   2.9e-10   35.5   2.9    95   173   193   275   147   287 0.76 # 12838 # 14196 # 1 # ID=24_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.235
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_24_10 -            453 1679at2085           -            265   1.9e-13   46.0  19.5   2   2   2.5e-06   0.00027   15.9   8.9    20   110   291   380   284   394 0.78 # 12838 # 14196 # 1 # ID=24_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.235
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_17_34 -            197 1679at2085           -            265   1.9e-12   42.7   6.6   1   1   3.1e-14   3.3e-12   41.8   5.8   110   244    13   155     1   178 0.71 # 43930 # 44520 # -1 # ID=17_34;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.227
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_13_17 -            302 1679at2085           -            265   8.8e-11   37.2   2.2   1   3   8.3e-13   8.8e-11   37.2   2.2   123   178    10    70     3    80 0.82 # 24497 # 25402 # 1 # ID=13_17;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.222
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_13_17 -            302 1679at2085           -            265   8.8e-11   37.2   2.2   2   3      0.19        20   -0.0   2.5    55    99   118   168    81   194 0.58 # 24497 # 25402 # 1 # ID=13_17;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.222
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_13_17 -            302 1679at2085           -            265   8.8e-11   37.2   2.2   3   3      0.43        45   -1.2   0.4    62    81   254   273   216   298 0.62 # 24497 # 25402 # 1 # ID=13_17;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.222
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_24_25 -            365 1679at2085           -            265   3.2e-07   25.5   7.8   1   3   3.8e-09   4.1e-07   25.2   0.1   120   154     3    36     1    51 0.87 # 29655 # 30749 # 1 # ID=24_25;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.276
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_24_25 -            365 1679at2085           -            265   3.2e-07   25.5   7.8   2   3       1.1   1.2e+02   -2.6   0.1   220   264   118   162    95   163 0.58 # 29655 # 30749 # 1 # ID=24_25;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.276
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_24_25 -            365 1679at2085           -            265   3.2e-07   25.5   7.8   3   3     0.009      0.96    4.3   0.9    48   113   195   255   187   267 0.75 # 29655 # 30749 # 1 # ID=24_25;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.276
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_8_7   -            434 1679at2085           -            265   1.9e-05   19.7   0.1   1   2   1.8e-07   1.9e-05   19.7   0.1   124   174   164   218   151   228 0.80 # 4129 # 5430 # -1 # ID=8_7;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.263
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_8_7   -            434 1679at2085           -            265   1.9e-05   19.7   0.1   2   2     0.073       7.8    1.3   5.4    50   108   274   336   263   354 0.74 # 4129 # 5430 # -1 # ID=8_7;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.263
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_34_16 -            368 1679at2085           -            265    0.0057   11.6  24.9   1   2   2.9e-06   0.00031   15.7  17.1    14   144    55   181    50   230 0.77 # 15157 # 16260 # 1 # ID=34_16;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.196
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_34_16 -            368 1679at2085           -            265    0.0057   11.6  24.9   2   2      0.21        23   -0.2   0.6   178   233   265   317   245   332 0.74 # 15157 # 16260 # 1 # ID=34_16;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.196
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_PPCC_MCI/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_PPCC_MCI/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_PPCC_MCI/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Mon Aug  1 00:28:01 2022
# [ok]
