#                                                                                                                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                                                                                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                                                                                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_3_10  -            601 501at2085            -            526  6.5e-245  809.4  12.9   1   1    6e-247  8.5e-245  809.0  12.9     1   525     1   598     1   599 0.92 # 14638 # 16440 # 1 # ID=3_10;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.269
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_20_19 -            690 501at2085            -            526   3.5e-47  156.9   0.3   1   4   2.5e-35   3.5e-33  110.7   0.0     5   138     9   146     6   189 0.88 # 18923 # 20992 # 1 # ID=20_19;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.320
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_20_19 -            690 501at2085            -            526   3.5e-47  156.9   0.3   2   4       1.4     2e+02   -4.0   0.0   152   173   260   281   252   282 0.88 # 18923 # 20992 # 1 # ID=20_19;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.320
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_20_19 -            690 501at2085            -            526   3.5e-47  156.9   0.3   3   4   6.5e-13   9.3e-11   36.7   0.0   172   343   304   488   293   509 0.77 # 18923 # 20992 # 1 # ID=20_19;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.320
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_20_19 -            690 501at2085            -            526   3.5e-47  156.9   0.3   4   4    0.0019      0.27    5.5   0.0   346   410   603   673   577   680 0.75 # 18923 # 20992 # 1 # ID=20_19;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.320
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_14_23 -            567 501at2085            -            526   1.3e-26   89.0   7.2   1   2   9.7e-26   1.4e-23   79.0   3.8    42   144     1   104     1   263 0.81 # 23454 # 25154 # -1 # ID=14_23;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.268
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_14_23 -            567 501at2085            -            526   1.3e-26   89.0   7.2   2   2   0.00015     0.022    9.1   0.1   299   373   316   392   288   447 0.77 # 23454 # 25154 # -1 # ID=14_23;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.268
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_20_20 -            396 501at2085            -            526   6.7e-21   70.2   0.3   1   1   3.7e-22   5.2e-20   67.2   0.3     8   210    14   247    11   317 0.73 # 21124 # 22311 # 1 # ID=20_20;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.358
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_6_5   -            621 501at2085            -            526   1.2e-16   56.1   2.7   1   3   8.7e-19   1.2e-16   56.1   2.7    10   176   125   276   118   331 0.79 # 4072 # 5934 # -1 # ID=6_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.278
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_6_5   -            621 501at2085            -            526   1.2e-16   56.1   2.7   2   3      0.33        47   -1.9   0.1   120   284   417   446   398   460 0.53 # 4072 # 5934 # -1 # ID=6_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.278
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_6_5   -            621 501at2085            -            526   1.2e-16   56.1   2.7   3   3      0.14        20   -0.7   0.4   375   375   495   495   420   617 0.62 # 4072 # 5934 # -1 # ID=6_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.278
