#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
LBMF01000002.1_144   -            331 2695at2085           -            231   1.4e-28   95.3  33.5   1   1   1.2e-28   2.4e-26   88.0  33.5     2   225    65   314    64   320 0.78 # 186813 # 187805 # -1 # ID=2_144;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.254
LBMF01000002.1_143   -           1050 2695at2085           -            231   2.6e-17   58.4  30.6   1   1   1.3e-17   2.6e-15   51.9  30.6    25   224    48   244     4   251 0.80 # 183679 # 186828 # -1 # ID=2_143;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.226
LBMF01000004.1_97    -            697 2695at2085           -            231   1.9e-06   22.9  20.7   1   4      0.31        61   -1.7   0.9    42    54    34    43    13    58 0.45 # 104199 # 106289 # -1 # ID=4_97;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.222
LBMF01000004.1_97    -            697 2695at2085           -            231   1.9e-06   22.9  20.7   2   4    0.0014      0.27    6.0  23.1    32   167    76   221    30   237 0.73 # 104199 # 106289 # -1 # ID=4_97;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.222
LBMF01000004.1_97    -            697 2695at2085           -            231   1.9e-06   22.9  20.7   3   4         4   7.8e+02   -5.8   8.8   158   222   305   371   279   383 0.53 # 104199 # 106289 # -1 # ID=4_97;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.222
LBMF01000004.1_97    -            697 2695at2085           -            231   1.9e-06   22.9  20.7   4   4   9.8e-09   1.9e-06   22.9  20.7    34   168   403   542   362   547 0.67 # 104199 # 106289 # -1 # ID=4_97;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.222
LBMF01000004.1_66    -            335 2695at2085           -            231       2.7    2.8  36.6   1   3    0.0047      0.91    4.3   2.2     2    33    29    60    25    69 0.81 # 66995 # 67999 # -1 # ID=4_66;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.184
LBMF01000004.1_66    -            335 2695at2085           -            231       2.7    2.8  36.6   2   3   0.00013     0.026    9.4  18.7    30   145    80   199    72   237 0.80 # 66995 # 67999 # -1 # ID=4_66;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.184
LBMF01000004.1_66    -            335 2695at2085           -            231       2.7    2.8  36.6   3   3      0.21        41   -1.1   0.6     7   224   290   312   284   322 0.45 # 66995 # 67999 # -1 # ID=4_66;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.184
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/2695at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_14DL0024/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_14DL0024/run_mycoplasmatales_odb10/hmmer_output/2695at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/2695at2085.hmm /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_14DL0024/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Sun Jul 31 23:53:47 2022
# [ok]
