#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
FR668087.1_391       -            690 148at2085            -            586         0 1012.9  15.5   1   1    1e-305  1.9e-303 1003.0  15.5     1   585    11   686    11   687 0.90 # 471799 # 473868 # 1 # ID=1_391;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.316
FR668087.1_442       -            610 148at2085            -            586   1.6e-44  148.0   6.1   1   3   4.6e-33   8.2e-31  102.7   0.1     2   155     8   160     7   184 0.91 # 540207 # 542036 # -1 # ID=1_442;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.274
FR668087.1_442       -            610 148at2085            -            586   1.6e-44  148.0   6.1   2   3     9e-12   1.6e-09   32.4   0.8   250   411   213   394   180   400 0.73 # 540207 # 542036 # -1 # ID=1_442;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.274
FR668087.1_442       -            610 148at2085            -            586   1.6e-44  148.0   6.1   3   3   6.8e-06    0.0012   13.0   0.0   517   574   402   470   396   476 0.70 # 540207 # 542036 # -1 # ID=1_442;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.274
FR668087.1_136       -            601 148at2085            -            586   6.7e-43  142.7   1.2   1   4   9.1e-30   1.6e-27   91.8   0.0     1   147     7   155     7   163 0.87 # 164666 # 166468 # 1 # ID=1_136;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.276
FR668087.1_136       -            601 148at2085            -            586   6.7e-43  142.7   1.2   2   4   4.5e-16   8.1e-14   46.6   0.1   220   421   170   386   161   389 0.75 # 164666 # 166468 # 1 # ID=1_136;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.276
FR668087.1_136       -            601 148at2085            -            586   6.7e-43  142.7   1.2   3   4     0.044       7.9    0.4   0.0   517   572   402   470   395   478 0.61 # 164666 # 166468 # 1 # ID=1_136;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.276
FR668087.1_136       -            601 148at2085            -            586   6.7e-43  142.7   1.2   4   4      0.35        62   -2.5   0.0   384   417   517   549   514   557 0.79 # 164666 # 166468 # 1 # ID=1_136;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.276
FR668087.1_392       -            396 148at2085            -            586   8.5e-16   53.2   0.6   1   2   1.1e-17     2e-15   51.9   0.5     2   133    14   144    13   162 0.87 # 474000 # 475187 # 1 # ID=1_392;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.359
FR668087.1_392       -            396 148at2085            -            586   8.5e-16   53.2   0.6   2   2      0.17        30   -1.5   0.0   208   236   176   204   167   276 0.70 # 474000 # 475187 # 1 # ID=1_392;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.359
FR668087.1_147       -            621 148at2085            -            586   2.6e-15   51.5   1.1   1   1   9.5e-17   1.7e-14   48.8   1.1    49   135   152   239   123   255 0.84 # 177634 # 179496 # -1 # ID=1_147;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.281
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/148at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco_out/outBusco/M.leachii_990146/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco_out/outBusco/M.leachii_990146/run_mycoplasmatales_odb10/hmmer_output/148at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/148at2085.hmm /disk3/default/V2/admin/core/data/myco_out/outBusco/M.leachii_990146/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Mon Aug  1 00:28:26 2022
# [ok]
