# BUSCO version is: 5.4.1 
# The lineage dataset is: mycoplasmatales_odb10 (Creation date: 2020-03-06, number of genomes: 79, number of BUSCOs: 174)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
17at2085	Complete	FR668087.1	97884	101651	+	1835.6	1278
53at2085	Complete	FR668087.1	94008	97871	+	1724.2	1227
56at2085	Complete	FR668087.1	183019	187461	-	1388.2	1119
78at2085	Complete	FR668087.1	357714	360680	+	851.2	968
111at2085	Complete	FR668087.1	847519	850359	+	1159.1	821
118at2085	Complete	FR668087.1	399053	401197	-	149.8	538
147at2085	Complete	FR668087.1	393389	395728	-	674.6	473
148at2085	Complete	FR668087.1	471799	473868	+	1012.9	584
157at2085	Complete	FR668087.1	255023	257749	+	736.1	669
163at2085	Complete	FR668087.1	482600	485290	-	759.4	669
218at2085	Complete	FR668087.1	780431	782599	-	442.9	524
244at2085	Complete	FR668087.1	871198	873129	+	463.7	464
406at2085	Complete	FR668087.1	682341	684173	+	618.4	486
462at2085	Complete	FR668087.1	728476	730890	-	764.4	662
482at2085	Complete	FR668087.1	124422	126536	-	478.2	558
492at2085	Complete	FR668087.1	226034	227809	+	762.8	510
501at2085	Complete	FR668087.1	164666	166468	+	808.8	524
533at2085	Complete	FR668087.1	1002212	1004101	-	748.8	502
534at2085	Complete	FR668087.1	603856	606474	-	864.7	751
539at2085	Complete	FR668087.1	557025	558944	+	745.4	539
543at2085	Complete	FR668087.1	707618	710581	-	551.4	653
584at2085	Complete	FR668087.1	5859	7853	+	348.4	535
697at2085	Complete	FR668087.1	815725	817320	+	466.3	420
699at2085	Complete	FR668087.1	845513	847510	+	731.9	567
705at2085	Complete	FR668087.1	474000	475187	+	590.0	341
759at2085	Complete	FR668087.1	923762	925264	-	531.6	367
801at2085	Complete	FR668087.1	177634	179496	-	575.0	484
812at2085	Complete	FR668087.1	1	1353	+	265.4	299
886at2085	Complete	FR668087.1	443790	445241	+	536.4	435
887at2085	Complete	FR668087.1	109575	111152	+	667.1	440
908at2085	Complete	FR668087.1	167326	169053	-	507.2	409
913at2085	Complete	FR668087.1	45904	47433	+	467.9	402
946at2085	Complete	FR668087.1	600331	602085	-	376.9	440
955at2085	Complete	FR668087.1	375768	377138	-	474.1	349
1041at2085	Complete	FR668087.1	774139	776145	-	460.2	493
1043at2085	Complete	FR668087.1	112005	113435	+	699.6	398
1064at2085	Complete	FR668087.1	532264	533319	-	389.4	302
1140at2085	Complete	FR668087.1	633083	634390	-	389.2	346
1146at2085	Complete	FR668087.1	622251	623594	-	446.4	373
1180at2085	Complete	FR668087.1	700647	701663	-	366.0	265
1182at2085	Complete	FR668087.1	770943	772382	-	405.7	380
1184at2085	Complete	FR668087.1	908270	909634	+	456.2	352
1307at2085	Complete	FR668087.1	232984	234648	+	395.1	397
1328at2085	Complete	FR668087.1	926654	927922	-	405.6	382
1338at2085	Complete	FR668087.1	903400	904758	-	336.9	374
1371at2085	Complete	FR668087.1	379359	381143	-	158.4	516
1384at2085	Complete	FR668087.1	747513	748961	-	440.9	380
1410at2085	Complete	FR668087.1	595700	597454	-	387.5	441
1416at2085	Complete	FR668087.1	180064	181740	-	200.6	360
1451at2085	Complete	FR668087.1	325465	326748	-	366.9	329
1484at2085	Complete	FR668087.1	699309	700523	-	428.4	332
1490at2085	Complete	FR668087.1	951731	953044	+	289.0	303
1519at2085	Complete	FR668087.1	743794	744747	-	254.3	247
1529at2085	Complete	FR668087.1	161694	163118	+	525.9	420
1617at2085	Complete	FR668087.1	755486	756334	-	432.1	244
1633at2085	Complete	FR668087.1	343948	345219	-	296.6	356
1647at2085	Complete	FR668087.1	188695	189771	-	316.9	242
1679at2085	Complete	FR668087.1	618696	619646	-	268.2	257
1683at2085	Complete	FR668087.1	886723	887817	-	348.0	302
1693at2085	Complete	FR668087.1	131046	132080	+	323.4	256
1770at2085	Complete	FR668087.1	258347	259279	+	262.6	234
1797at2085	Complete	FR668087.1	463372	464463	+	412.9	344
1813at2085	Complete	FR668087.1	329930	331168	-	266.2	311
1827at2085	Complete	FR668087.1	547111	548466	+	563.3	382
1830at2085	Complete	FR668087.1	137312	138637	+	339.5	349
1851at2085	Complete	FR668087.1	410835	412136	-	414.8	378
1886at2085	Complete	FR668087.1	838823	839623	-	152.6	180
1930at2085	Complete	FR668087.1	264049	265002	+	181.5	196
1978at2085	Complete	FR668087.1	286285	287208	-	327.8	274
1992at2085	Complete	FR668087.1	224352	225374	+	201.0	257
1993at2085	Complete	FR668087.1	189929	190939	+	349.4	275
2000at2085	Complete	FR668087.1	710777	712021	-	376.3	348
2014at2085	Complete	FR668087.1	229196	230071	+	290.2	218
2086at2085	Complete	FR668087.1	772384	773841	-	362.3	357
2092at2085	Complete	FR668087.1	401934	403061	-	415.3	296
2116at2085	Complete	FR668087.1	373916	375730	-	266.9	331
2118at2085	Complete	FR668087.1	245978	248362	+	378.8	638
2170at2085	Complete	FR668087.1	768506	770107	-	305.0	383
2183at2085	Complete	FR668087.1	555322	556758	+	501.9	355
2279at2085	Complete	FR668087.1	80219	81088	-	266.1	222
2313at2085	Complete	FR668087.1	341489	342652	-	363.9	272
2353at2085	Complete	FR668087.1	450874	451842	+	310.7	223
2413at2085	Complete	FR668087.1	85316	85996	+	231.5	179
2451at2085	Complete	FR668087.1	625303	626340	-	417.0	267
2452at2085	Complete	FR668087.1	244917	245969	+	253.3	254
2529at2085	Complete	FR668087.1	169062	170306	-	291.1	280
2558at2085	Complete	FR668087.1	342862	343635	-	215.8	214
2568at2085	Complete	FR668087.1	754121	754822	-	237.6	186
2571at2085	Complete	FR668087.1	634390	635058	-	195.0	173
2577at2085	Complete	FR668087.1	230083	230970	+	219.6	242
2636at2085	Complete	FR668087.1	857142	858071	+	166.3	212
2656at2085	Complete	FR668087.1	377951	378856	-	234.0	274
2666at2085	Complete	FR668087.1	497293	498174	+	232.7	244
2694at2085	Complete	FR668087.1	814147	814893	+	207.5	185
2695at2085	Missing
2804at2085	Complete	FR668087.1	757312	757983	-	283.1	209
2868at2085	Complete	FR668087.1	905298	906257	+	288.8	250
2930at2085	Complete	FR668087.1	249584	250513	+	313.5	274
2936at2085	Complete	FR668087.1	575865	576491	-	249.2	195
2961at2085	Complete	FR668087.1	745988	746743	-	220.1	202
2972at2085	Complete	FR668087.1	620132	620854	-	231.9	187
2991at2085	Complete	FR668087.1	534276	534821	-	126.0	107
3001at2085	Complete	FR668087.1	408712	409815	-	248.3	267
3036at2085	Complete	FR668087.1	751747	752289	-	244.3	157
3066at2085	Complete	FR668087.1	397466	398020	-	195.8	158
3112at2085	Complete	FR668087.1	888755	889375	-	133.1	148
3146at2085	Complete	FR668087.1	854759	855691	+	277.3	234
3195at2085	Complete	FR668087.1	111154	111996	+	182.1	208
3266at2085	Complete	FR668087.1	740159	741169	-	236.9	229
3273at2085	Complete	FR668087.1	267753	268643	+	222.1	199
3282at2085	Complete	FR668087.1	778152	779060	-	177.0	202
3319at2085	Complete	FR668087.1	704039	704863	-	238.9	233
3342at2085	Complete	FR668087.1	280602	281822	+	269.2	312
3403at2085	Complete	FR668087.1	139926	140570	+	189.0	177
3406at2085	Complete	FR668087.1	231710	232423	+	246.9	207
3445at2085	Complete	FR668087.1	232434	232982	+	132.9	139
3486at2085	Complete	FR668087.1	106078	106701	+	212.0	168
3487at2085	Complete	FR668087.1	630704	631213	+	100.4	130
3504at2085	Complete	FR668087.1	138639	139373	+	172.4	174
3517at2085	Complete	FR668087.1	470799	471218	+	206.0	117
3531at2085	Complete	FR668087.1	84888	85316	+	223.2	135
3550at2085	Complete	FR668087.1	636865	637425	+	155.9	160
3570at2085	Complete	FR668087.1	462740	463369	+	176.8	156
3640at2085	Complete	FR668087.1	91744	92241	+	141.3	125
3656at2085	Complete	FR668087.1	464456	465304	+	110.9	198
3687at2085	Complete	FR668087.1	354205	354903	+	144.0	160
3833at2085	Complete	FR668087.1	750577	751119	-	215.3	160
3843at2085	Complete	FR668087.1	607854	608756	-	205.4	220
3848at2085	Complete	FR668087.1	825697	826359	+	168.0	173
3895at2085	Complete	FR668087.1	746743	747384	-	165.2	164
3904at2085	Complete	FR668087.1	395844	397130	-	300.4	336
3914at2085	Complete	FR668087.1	753705	754118	-	178.1	117
3920at2085	Complete	FR668087.1	749418	750182	-	211.2	176
3946at2085	Complete	FR668087.1	107239	108099	+	246.1	218
3960at2085	Complete	FR668087.1	734556	735011	-	160.9	124
4055at2085	Complete	FR668087.1	751132	751521	-	126.3	103
4100at2085	Complete	FR668087.1	471311	471778	+	269.8	145
4107at2085	Complete	FR668087.1	132432	132992	+	168.9	160
4128at2085	Complete	FR668087.1	752648	753016	-	163.3	107
4148at2085	Complete	FR668087.1	3213	4013	+	200.7	208
4184at2085	Complete	FR668087.1	752308	752634	-	72.5	86
4221at2085	Complete	FR668087.1	549356	549787	+	104.2	110
4257at2085	Complete	FR668087.1	123966	124412	-	100.8	112
4276at2085	Complete	FR668087.1	536247	537140	+	198.1	169
4293at2085	Complete	FR668087.1	619738	620130	-	126.6	99
4319at2085	Complete	FR668087.1	758058	758366	-	111.9	80
4322at2085	Complete	FR668087.1	734158	734556	-	140.6	110
4324at2085	Complete	FR668087.1	591158	591748	-	124.2	121
4330at2085	Complete	FR668087.1	745166	745531	-	149.4	98
4353at2085	Complete	FR668087.1	748961	749398	-	107.6	97
4367at2085	Complete	FR668087.1	595135	595608	-	131.8	122
4388at2085	Complete	FR668087.1	744751	745140	-	148.9	101
4488at2085	Complete	FR668087.1	533681	534040	-	129.3	90
4555at2085	Complete	FR668087.1	8448	9089	+	184.2	157
4584at2085	Complete	FR668087.1	269832	270113	+	131.0	68
4629at2085	Complete	FR668087.1	743415	743774	-	109.2	95
4648at2085	Complete	FR668087.1	336423	336821	+	126.9	101
4715at2085	Fragmented	FR668087.1	249172	249471	+	76.7	78
4756at2085	Complete	FR668087.1	923340	923648	+	81.9	81
4759at2085	Complete	FR668087.1	755198	755464	-	130.0	70
4923at2085	Complete	FR668087.1	104307	104750	+	138.6	124
4969at2085	Complete	FR668087.1	753032	753289	-	102.6	70
5049at2085	Complete	FR668087.1	378860	379354	-	93.7	84
5085at2085	Complete	FR668087.1	176480	176746	+	97.9	67
5097at2085	Complete	FR668087.1	269211	269513	+	113.4	83
5172at2085	Complete	FR668087.1	750201	750551	-	100.0	89
5176at2085	Complete	FR668087.1	745752	745976	-	83.6	39
5219at2085	Complete	FR668087.1	621362	621688	-	98.8	61
5230at2085	Complete	FR668087.1	34019	34246	+	90.7	51
5240at2085	Complete	FR668087.1	459496	459774	+	91.7	61
5243at2085	Complete	FR668087.1	350820	351017	-	85.9	51
5299at2085	Complete	FR668087.1	751543	751728	-	93.2	42
5328at2085	Complete	FR668087.1	92308	92676	+	107.0	100
5471at2085	Complete	FR668087.1	329490	329927	-	71.2	95
