#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CP000123.1_211       -            298 4276at2085           -            173   9.2e-61  200.2   0.3   1   1   7.4e-63   1.5e-60  199.5   0.3     1   170     2   183     2   186 0.92 # 250997 # 251890 # 1 # ID=1_211;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.248
CP000123.1_248       -            197 4276at2085           -            173   0.00039   15.9   1.3   1   1   2.5e-06   0.00053   15.5   1.3     6   116    25   136    21   194 0.75 # 301100 # 301690 # -1 # ID=1_248;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.228
CP000123.1_418       -            208 4276at2085           -            173    0.0019   13.7   0.7   1   2   0.00054      0.11    7.9   0.0     2    25     4    27     3    46 0.84 # 507977 # 508600 # 1 # ID=1_418;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=3-4bp;gc_cont=0.244
CP000123.1_418       -            208 4276at2085           -            173    0.0019   13.7   0.7   2   2    0.0064       1.3    4.4   0.1   102   142   120   161    72   181 0.77 # 507977 # 508600 # 1 # ID=1_418;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=3-4bp;gc_cont=0.244
CP000123.1_511       -            413 4276at2085           -            173      0.02   10.4   0.0   1   5   9.3e-05      0.02   10.4   0.0     6    45    42    79    39   104 0.73 # 622111 # 623349 # -1 # ID=1_511;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.238
CP000123.1_511       -            413 4276at2085           -            173      0.02   10.4   0.0   2   5      0.74   1.6e+02   -2.3   0.0    64    82   150   168   146   186 0.71 # 622111 # 623349 # -1 # ID=1_511;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.238
CP000123.1_511       -            413 4276at2085           -            173      0.02   10.4   0.0   3   5       0.1        22    0.4   0.1    67    99   189   221   184   229 0.87 # 622111 # 623349 # -1 # ID=1_511;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.238
CP000123.1_511       -            413 4276at2085           -            173      0.02   10.4   0.0   4   5       1.6   3.4e+02   -3.4   0.0    38    55   237   254   234   269 0.80 # 622111 # 623349 # -1 # ID=1_511;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.238
CP000123.1_511       -            413 4276at2085           -            173      0.02   10.4   0.0   5   5       1.4   2.9e+02   -3.2   0.7    60    80   379   396   368   405 0.54 # 622111 # 623349 # -1 # ID=1_511;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.238
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/4276at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_ATCC27343/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_ATCC27343/run_mycoplasmatales_odb10/hmmer_output/4276at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/4276at2085.hmm /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_ATCC27343/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Mon Aug  1 00:27:14 2022
# [ok]
