#                                                                                                                                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                                                                                                                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                                                                                                                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_14_13 -            331 2695at2085           -            231   1.6e-28   95.3  33.5   1   1   1.2e-28   2.7e-26   88.0  33.5     2   225    65   314    64   320 0.78 # 16333 # 17325 # -1 # ID=14_13;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.257
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_14_12 -           1047 2695at2085           -            231   3.7e-17   58.0  30.3   1   1   1.7e-17   3.7e-15   51.5  30.3    25   224    48   244     4   251 0.80 # 13208 # 16348 # -1 # ID=14_12;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.224
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_13_39 -            697 2695at2085           -            231   2.8e-06   22.5  21.3   1   4      0.37        78   -1.9   1.4    43    54    35    43    13    62 0.46 # 52835 # 54925 # 1 # ID=13_39;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.222
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_13_39 -            697 2695at2085           -            231   2.8e-06   22.5  21.3   2   4     0.002      0.43    5.5  24.0    32   167    76   221    28   237 0.73 # 52835 # 54925 # 1 # ID=13_39;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.222
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_13_39 -            697 2695at2085           -            231   2.8e-06   22.5  21.3   3   4         4   8.5e+02   -7.3  10.7    65   220   305   369   258   396 0.48 # 52835 # 54925 # 1 # ID=13_39;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.222
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_13_39 -            697 2695at2085           -            231   2.8e-06   22.5  21.3   4   4   1.3e-08   2.8e-06   22.5  21.3    33   168   402   542   362   548 0.66 # 52835 # 54925 # 1 # ID=13_39;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.222
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_13_70 -            335 2695at2085           -            231      0.39    5.6  34.6   1   3    0.0046      0.98    4.3   1.9     2    33    29    60    28    69 0.82 # 91082 # 92086 # 1 # ID=13_70;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.191
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_13_70 -            335 2695at2085           -            231      0.39    5.6  34.6   2   3   3.5e-05    0.0075   11.3  17.9    30   145    80   199    72   237 0.80 # 91082 # 92086 # 1 # ID=13_70;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.191
NG-25720_PPCC_MCI_lib436635_7080_3_1_(paired)_trimmed_(paired)_mapping_-_Extracted_nucleotide_sequences_[NG-25720_PPCC_MCI_lib436635_7080_3_1]_(single)_contig_13_70 -            335 2695at2085           -            231      0.39    5.6  34.6   3   3      0.17        37   -0.8   0.4     5    34   288   317   285   323 0.68 # 91082 # 92086 # 1 # ID=13_70;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.191
#
# Program:         hmmsearch
