#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
FR668087.1_235       -            308 1978at2085           -            276     3e-99  327.8  18.3   1   1  3.4e-101   3.9e-99  327.4  18.3     1   275     3   305     3   306 0.91 # 286285 # 287208 # -1 # ID=1_235;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.205
FR668087.1_320       -            412 1978at2085           -            276     6e-15   51.3   2.0   1   2   5.4e-17     6e-15   51.3   2.0     1   112    10   120    10   134 0.85 # 392042 # 393277 # -1 # ID=1_320;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.235
FR668087.1_320       -            412 1978at2085           -            276     6e-15   51.3   2.0   2   2      0.27        31   -0.3   0.4   188   266   168   246   137   253 0.62 # 392042 # 393277 # -1 # ID=1_320;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.235
FR668087.1_853       -            268 1978at2085           -            276   4.8e-11   38.5   9.2   1   3     5e-10   5.6e-08   28.4   0.3     5    66     4    65     1    91 0.85 # 971722 # 972525 # -1 # ID=1_853;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.209
FR668087.1_853       -            268 1978at2085           -            276   4.8e-11   38.5   9.2   2   3      0.42        47   -0.9   0.1     3    29   101   127    99   132 0.82 # 971722 # 972525 # -1 # ID=1_853;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.209
FR668087.1_853       -            268 1978at2085           -            276   4.8e-11   38.5   9.2   3   3   6.8e-06   0.00076   14.8   0.8   128   209   144   235   132   250 0.74 # 971722 # 972525 # -1 # ID=1_853;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.209
FR668087.1_373       -            354 1978at2085           -            276   1.6e-08   30.2   5.6   1   2      0.44        49   -0.9   0.1    70    98     2    31     1    44 0.79 # 451985 # 453046 # 1 # ID=1_373;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.243
FR668087.1_373       -            354 1978at2085           -            276   1.6e-08   30.2   5.6   2   2   9.5e-10   1.1e-07   27.5   2.6    14   175    87   255    84   273 0.76 # 451985 # 453046 # 1 # ID=1_373;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.243
FR668087.1_15        -            649 1978at2085           -            276   1.1e-07   27.4   0.1   1   2   3.6e-09   4.1e-07   25.6   0.0    26   103   197   282   176   357 0.79 # 13684 # 15630 # 1 # ID=1_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.300
FR668087.1_15        -            649 1978at2085           -            276   1.1e-07   27.4   0.1   2   2      0.69        78   -1.6   0.1   199   236   568   604   517   628 0.61 # 13684 # 15630 # 1 # ID=1_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.300
FR668087.1_592       -            312 1978at2085           -            276   1.3e-05   20.7   4.4   1   1   5.2e-07   5.8e-05   18.5   4.4    28    99   145   228   127   302 0.73 # 701756 # 702691 # -1 # ID=1_592;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.171
FR668087.1_321       -            780 1978at2085           -            276   1.5e-05   20.5   5.4   1   3         1   1.2e+02   -2.2   0.4    56   101   173   218   158   251 0.66 # 393389 # 395728 # -1 # ID=1_321;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.271
FR668087.1_321       -            780 1978at2085           -            276   1.5e-05   20.5   5.4   2   3   2.2e-07   2.5e-05   19.7   0.1     8    64   327   384   323   396 0.75 # 393389 # 395728 # -1 # ID=1_321;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.271
FR668087.1_321       -            780 1978at2085           -            276   1.5e-05   20.5   5.4   3   3     0.044       4.9    2.4   0.1   129   166   466   503   409   519 0.84 # 393389 # 395728 # -1 # ID=1_321;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.271
FR668087.1_357       -            513 1978at2085           -            276   1.8e-05   20.2   0.2   1   2   1.2e-05    0.0013   14.1   0.0    19    57    16    54     7    62 0.89 # 431654 # 433192 # 1 # ID=1_357;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.259
FR668087.1_357       -            513 1978at2085           -            276   1.8e-05   20.2   0.2   2   2     0.028       3.2    3.0   0.0    35    57   350   372   345   374 0.89 # 431654 # 433192 # 1 # ID=1_357;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.259
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1978at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco_out/outBusco/M.leachii_990146/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco_out/outBusco/M.leachii_990146/run_mycoplasmatales_odb10/hmmer_output/1978at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1978at2085.hmm /disk3/default/V2/admin/core/data/myco_out/outBusco/M.leachii_990146/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Mon Aug  1 00:28:27 2022
# [ok]
