#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
FR668087.1_438       -            298 4276at2085           -            173   4.4e-60  198.1   0.2   1   1   3.2e-62   7.3e-60  197.4   0.2     1   170     2   183     2   186 0.92 # 536247 # 537140 # 1 # ID=1_438;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.251
FR668087.1_482       -            197 4276at2085           -            173   0.00011   17.7   1.5   1   1   6.6e-07   0.00015   17.3   1.5     6   141    25   164    21   195 0.75 # 591158 # 591748 # -1 # ID=1_482;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.223
FR668087.1_227       -            208 4276at2085           -            173    0.0023   13.5   0.9   1   2   0.00054      0.12    7.9   0.0     2    25     4    27     3    46 0.84 # 277013 # 277636 # 1 # ID=1_227;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=3-4bp;gc_cont=0.239
FR668087.1_227       -            208 4276at2085           -            173    0.0023   13.5   0.9   2   2    0.0062       1.4    4.4   0.1   102   144   120   163    72   182 0.78 # 277013 # 277636 # 1 # ID=1_227;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=3-4bp;gc_cont=0.239
FR668087.1_320       -            412 4276at2085           -            173    0.0087   11.6   0.1   1   5   3.9e-05    0.0087   11.6   0.1     6    51    42    85    39   116 0.77 # 392042 # 393277 # -1 # ID=1_320;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.235
FR668087.1_320       -            412 4276at2085           -            173    0.0087   11.6   0.1   2   5       0.6   1.3e+02   -2.0   0.0    63    83   149   169   146   186 0.71 # 392042 # 393277 # -1 # ID=1_320;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.235
FR668087.1_320       -            412 4276at2085           -            173    0.0087   11.6   0.1   3   5      0.11        25    0.3   0.1    67    99   189   221   185   228 0.87 # 392042 # 393277 # -1 # ID=1_320;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.235
FR668087.1_320       -            412 4276at2085           -            173    0.0087   11.6   0.1   4   5       1.6   3.6e+02   -3.4   0.0    38    55   237   254   234   269 0.80 # 392042 # 393277 # -1 # ID=1_320;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.235
FR668087.1_320       -            412 4276at2085           -            173    0.0087   11.6   0.1   5   5       1.3   2.8e+02   -3.1   0.7    60    82   379   398   369   406 0.53 # 392042 # 393277 # -1 # ID=1_320;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.235
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/4276at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco/outBusco/M.leachii_990146/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco/outBusco/M.leachii_990146/run_mycoplasmatales_odb10/hmmer_output/4276at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/4276at2085.hmm /disk3/default/V2/admin/core/data/myco/outBusco/M.leachii_990146/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Sun Jul 31 23:55:31 2022
# [ok]
