#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JFDO01000017.1_69    -            317 1679at2085           -            265   3.4e-81  268.1  13.8   1   1   3.9e-83   4.2e-81  267.8  13.8     3   260     3   277     1   287 0.88 # 84564 # 85514 # -1 # ID=17_69;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.240
JFDO01000017.1_84    -            436 1679at2085           -            265   1.5e-26   88.9  25.7   1   3   5.2e-14   5.7e-12   41.1   0.1   122   176     6    64     1    78 0.82 # 96087 # 97394 # -1 # ID=17_84;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.226
JFDO01000017.1_84    -            436 1679at2085           -            265   1.5e-26   88.9  25.7   2   3   2.7e-13     3e-11   38.8   8.4    23   173    80   232    70   243 0.77 # 96087 # 97394 # -1 # ID=17_84;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.226
JFDO01000017.1_84    -            436 1679at2085           -            265   1.5e-26   88.9  25.7   3   3   9.3e-07    0.0001   17.3   5.3    23   109   254   352   244   367 0.77 # 96087 # 97394 # -1 # ID=17_84;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.226
JFDO01000036.1_7     -            453 1679at2085           -            265   1.8e-13   46.0  19.2   1   2   2.9e-12   3.2e-10   35.4   2.4    96   173   194   275   185   287 0.77 # 4240 # 5598 # -1 # ID=36_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.234
JFDO01000036.1_7     -            453 1679at2085           -            265   1.8e-13   46.0  19.2   2   2   2.7e-06   0.00029   15.8   9.1    20   110   291   380   281   394 0.78 # 4240 # 5598 # -1 # ID=36_7;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.234
JFDO01000004.1_24    -            197 1679at2085           -            265   2.7e-12   42.2   7.2   1   1   3.1e-14   3.4e-12   41.9   6.0   110   247    13   158     1   175 0.71 # 22344 # 22934 # 1 # ID=4_24;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.223
JFDO01000017.1_34    -            302 1679at2085           -            265   7.4e-11   37.5   2.4   1   3   6.8e-13   7.4e-11   37.5   2.4   123   179    10    71     3    88 0.81 # 39542 # 40447 # -1 # ID=17_34;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.222
JFDO01000017.1_34    -            302 1679at2085           -            265   7.4e-11   37.5   2.4   2   3      0.16        18    0.2   2.4    55    99   118   168    81   194 0.58 # 39542 # 40447 # -1 # ID=17_34;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.222
JFDO01000017.1_34    -            302 1679at2085           -            265   7.4e-11   37.5   2.4   3   3      0.43        47   -1.2   0.4    62    81   254   273   216   298 0.62 # 39542 # 40447 # -1 # ID=17_34;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.222
JFDO01000035.1_12    -            365 1679at2085           -            265   4.2e-07   25.2   0.1   1   3   3.8e-09   4.2e-07   25.2   0.1   120   154     3    36     1    51 0.87 # 13111 # 14205 # -1 # ID=35_12;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.273
