#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
LBMF01000004.1_155   -            317 1679at2085           -            265     3e-81  268.1  13.8   1   1   3.9e-83   3.8e-81  267.8  13.8     3   260     3   277     1   287 0.88 # 180653 # 181603 # -1 # ID=4_155;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.238
LBMF01000004.1_170   -            436 1679at2085           -            265   2.3e-28   94.7  25.8   1   3   9.7e-16   9.5e-14   46.8   0.2   122   176     6    64     1    80 0.81 # 192192 # 193499 # -1 # ID=4_170;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.223
LBMF01000004.1_170   -            436 1679at2085           -            265   2.3e-28   94.7  25.8   2   3   1.6e-13   1.5e-11   39.5   8.0    22   173    79   232    69   243 0.76 # 192192 # 193499 # -1 # ID=4_170;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.223
LBMF01000004.1_170   -            436 1679at2085           -            265   2.3e-28   94.7  25.8   3   3   1.1e-06   0.00011   17.1   5.5    23   109   254   352   246   366 0.77 # 192192 # 193499 # -1 # ID=4_170;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.223
LBMF01000007.1_170   -            453 1679at2085           -            265   1.6e-13   46.0  19.2   1   2   2.8e-12   2.7e-10   35.4   2.4    96   173   194   275   184   288 0.77 # 194964 # 196322 # -1 # ID=7_170;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.235
LBMF01000007.1_170   -            453 1679at2085           -            265   1.6e-13   46.0  19.2   2   2   2.5e-06   0.00024   15.9   8.9    20   110   291   380   282   394 0.78 # 194964 # 196322 # -1 # ID=7_170;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.235
LBMF01000003.1_26    -            197 1679at2085           -            265   2.9e-12   41.9   7.6   1   2     3e-14   2.9e-12   41.9   5.5   110   229    13   137     1   168 0.70 # 36772 # 37362 # -1 # ID=3_26;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.227
LBMF01000003.1_26    -            197 1679at2085           -            265   2.9e-12   41.9   7.6   2   2     0.066       6.4    1.5   2.9    14    80    94   162    90   193 0.61 # 36772 # 37362 # -1 # ID=3_26;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.227
LBMF01000004.1_119   -            302 1679at2085           -            265   6.8e-11   37.4   2.3   1   3   6.9e-13   6.8e-11   37.4   2.3   123   179    10    71     3    85 0.81 # 133721 # 134626 # -1 # ID=4_119;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.224
LBMF01000004.1_119   -            302 1679at2085           -            265   6.8e-11   37.4   2.3   2   3      0.15        15    0.3   2.1    55   100   118   169    82   194 0.60 # 133721 # 134626 # -1 # ID=4_119;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.224
LBMF01000004.1_119   -            302 1679at2085           -            265   6.8e-11   37.4   2.3   3   3      0.43        42   -1.2   0.4    62    81   254   273   216   298 0.62 # 133721 # 134626 # -1 # ID=4_119;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.224
LBMF01000007.1_156   -            365 1679at2085           -            265   5.7e-08   27.8   4.2   1   2   3.8e-09   3.7e-07   25.2   0.1   120   154     3    36     1    51 0.87 # 178263 # 179357 # -1 # ID=7_156;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.275
LBMF01000007.1_156   -            365 1679at2085           -            265   5.7e-08   27.8   4.2   2   2     0.018       1.8    3.3   0.8    48   111   195   253   186   270 0.71 # 178263 # 179357 # -1 # ID=7_156;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.275
LBMF01000004.1_145   -            434 1679at2085           -            265   1.9e-05   19.6   0.1   1   2     2e-07   1.9e-05   19.6   0.1   124   174   164   218   151   228 0.80 # 168295 # 169596 # -1 # ID=4_145;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.260
LBMF01000004.1_145   -            434 1679at2085           -            265   1.9e-05   19.6   0.1   2   2     0.073       7.1    1.3   5.4    50   108   274   336   263   354 0.74 # 168295 # 169596 # -1 # ID=4_145;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.260
LBMF01000004.1_40    -            368 1679at2085           -            265   0.00011   17.0  15.5   1   2   1.2e-06   0.00011   17.0  15.5    14   144    55   181    50   215 0.77 # 41237 # 42340 # -1 # ID=4_40;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.192
LBMF01000004.1_40    -            368 1679at2085           -            265   0.00011   17.0  15.5   2   2      0.21        20   -0.2   0.7   178   233   265   317   245   332 0.73 # 41237 # 42340 # -1 # ID=4_40;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.192
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14DL0024/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14DL0024/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14DL0024/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
