# BUSCO version is: 5.4.1 
# The lineage dataset is: mycoplasmatales_odb10 (Creation date: 2020-03-06, number of genomes: 79, number of BUSCOs: 174)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
17at2085	Complete	CP000123.1	84918	88685	+	1836.6	1278
53at2085	Complete	CP000123.1	81043	84906	+	1731.1	1230
56at2085	Complete	CP000123.1	402434	406873	-	1390.5	1080
78at2085	Complete	CP000123.1	585624	588590	+	857.9	1003
111at2085	Complete	CP000123.1	892149	894989	+	1160.4	821
118at2085	Complete	CP000123.1	629130	631274	-	150.8	507
147at2085	Complete	CP000123.1	623462	625801	-	677.5	488
148at2085	Complete	CP000123.1	181679	183748	+	1013.2	574
157at2085	Complete	CP000123.1	484559	487285	+	735.9	668
163at2085	Complete	CP000123.1	192390	195080	-	760.2	675
218at2085	Complete	CP000123.1	832070	834238	-	445.2	528
244at2085	Complete	CP000123.1	913892	915823	+	463.7	464
406at2085	Complete	CP000123.1	741987	743822	+	622.7	487
462at2085	Complete	CP000123.1	784221	786635	-	764.9	660
482at2085	Complete	CP000123.1	116085	118199	-	478.8	563
492at2085	Complete	CP000123.1	455607	457382	+	763.2	510
501at2085	Complete	CP000123.1	384137	385939	+	809.4	524
533at2085	Complete	CP000123.1	989799	991688	-	746.5	523
534at2085	Complete	CP000123.1	313797	316415	-	863.8	752
539at2085	Complete	CP000123.1	266899	268818	+	747.9	539
543at2085	Complete	CP000123.1	762135	765095	-	549.7	626
584at2085	Complete	CP000123.1	5851	7860	+	345.9	453
697at2085	Complete	CP000123.1	866540	868135	+	468.5	420
699at2085	Complete	CP000123.1	890143	892140	+	732.0	567
705at2085	Complete	CP000123.1	183880	185067	+	590.0	341
759at2085	Complete	CP000123.1	966562	968064	-	530.1	367
801at2085	Complete	CP000123.1	397049	398911	-	573.8	485
812at2085	Complete	CP000123.1	1	1353	+	265.1	303
886at2085	Complete	CP000123.1	156937	158388	+	537.1	436
887at2085	Complete	CP000123.1	96623	98200	+	670.3	440
908at2085	Complete	CP000123.1	386797	388524	-	506.0	421
913at2085	Complete	CP000123.1	40240	41769	+	470.0	392
946at2085	Complete	CP000123.1	310275	312026	-	381.0	439
955at2085	Complete	CP000123.1	603527	604897	-	473.7	349
1041at2085	Complete	CP000123.1	825742	827748	-	462.8	496
1043at2085	Complete	CP000123.1	99053	100483	+	699.3	398
1064at2085	Complete	CP000123.1	247015	248070	-	389.3	303
1140at2085	Complete	CP000123.1	688308	689615	-	392.3	346
1146at2085	Complete	CP000123.1	655947	657290	-	447.3	373
1180at2085	Complete	CP000123.1	755160	756176	-	365.9	265
1182at2085	Complete	CP000123.1	822546	823985	-	403.8	396
1184at2085	Complete	CP000123.1	951095	952459	+	454.2	348
1307at2085	Complete	CP000123.1	462557	464221	+	388.1	378
1328at2085	Complete	CP000123.1	969451	970719	-	404.2	323
1338at2085	Complete	CP000123.1	946228	947586	-	337.0	357
1371at2085	Complete	CP000123.1	607118	608902	-	162.0	499
1384at2085	Complete	CP000123.1	803256	804704	-	440.9	380
1410at2085	Complete	CP000123.1	305640	307394	-	387.2	445
1416at2085	Complete	CP000123.1	399479	401155	-	194.1	368
1451at2085	Complete	CP000123.1	554703	555986	-	366.9	329
1484at2085	Complete	CP000123.1	753818	755032	-	432.1	332
1490at2085	Complete	CP000123.1	125184	126512	+	290.3	402
1519at2085	Complete	CP000123.1	799537	800490	-	256.2	247
1529at2085	Complete	CP000123.1	381165	382589	+	525.5	398
1617at2085	Complete	CP000123.1	811231	812076	-	433.2	244
1633at2085	Complete	CP000123.1	573362	574636	-	292.6	392
1647at2085	Complete	CP000123.1	408108	409184	-	318.6	243
1679at2085	Complete	CP000123.1	652386	653336	-	268.1	257
1683at2085	Complete	CP000123.1	929506	930600	-	352.5	294
1693at2085	Complete	CP000123.1	122709	123743	+	324.0	256
1770at2085	Complete	CP000123.1	487883	488851	+	263.6	240
1797at2085	Complete	CP000123.1	173248	174339	+	411.8	334
1813at2085	Complete	CP000123.1	559119	560357	-	266.8	306
1827at2085	Complete	CP000123.1	256990	258345	+	562.8	381
1830at2085	Complete	CP000123.1	128925	130250	+	333.9	344
1851at2085	Complete	CP000123.1	640031	641332	-	414.9	365
1886at2085	Complete	CP000123.1	884729	885529	-	150.4	180
1930at2085	Complete	CP000123.1	494973	495926	+	182.5	194
1978at2085	Fragmented	CP000123.1	514753	515325	-	241.1	177
1992at2085	Complete	CP000123.1	453921	454943	+	204.1	257
1993at2085	Complete	CP000123.1	409342	410352	+	353.0	275
2000at2085	Complete	CP000123.1	768010	769254	-	379.9	355
2014at2085	Complete	CP000123.1	458769	459644	+	289.9	218
2086at2085	Complete	CP000123.1	823987	825444	-	359.4	335
2092at2085	Complete	CP000123.1	632010	633137	-	417.2	295
2116at2085	Complete	CP000123.1	601676	603490	-	267.4	345
2118at2085	Complete	CP000123.1	475544	477928	+	381.0	651
2170at2085	Complete	CP000123.1	820101	821702	-	301.5	371
2183at2085	Complete	CP000123.1	265192	266628	+	499.5	355
2279at2085	Complete	CP000123.1	72604	73473	-	266.8	221
2313at2085	Complete	CP000123.1	570902	572065	-	362.0	272
2353at2085	Complete	CP000123.1	164099	165067	+	312.5	223
2413at2085	Complete	CP000123.1	77860	78540	+	227.5	174
2451at2085	Complete	CP000123.1	659001	660038	-	419.0	267
2452at2085	Complete	CP000123.1	474483	475535	+	253.4	250
2529at2085	Complete	CP000123.1	388533	389777	-	290.5	280
2558at2085	Complete	CP000123.1	572276	573049	-	214.3	214
2568at2085	Complete	CP000123.1	809865	810566	-	240.1	186
2571at2085	Complete	CP000123.1	689615	690283	-	196.8	179
2577at2085	Complete	CP000123.1	459656	460543	+	218.9	242
2636at2085	Complete	CP000123.1	901773	902702	+	168.4	211
2656at2085	Complete	CP000123.1	605710	606615	-	234.6	277
2666at2085	Missing
2694at2085	Complete	CP000123.1	864962	865708	+	208.3	189
2695at2085	Missing
2804at2085	Complete	CP000123.1	813052	813723	-	283.2	209
2868at2085	Complete	CP000123.1	948123	949082	+	291.9	246
2930at2085	Complete	CP000123.1	479149	480078	+	313.1	274
2936at2085	Complete	CP000123.1	285801	286427	-	249.6	195
2961at2085	Complete	CP000123.1	801731	802486	-	220.2	202
2972at2085	Complete	CP000123.1	653823	654545	-	232.6	187
2991at2085	Complete	CP000123.1	249027	249572	-	126.4	107
3001at2085	Complete	CP000123.1	637908	639011	-	255.6	267
3036at2085	Complete	CP000123.1	807491	808033	-	242.6	157
3066at2085	Complete	CP000123.1	627543	628097	-	194.5	158
3112at2085	Complete	CP000123.1	931533	932153	-	132.3	159
3146at2085	Complete	CP000123.1	899390	900322	+	275.3	234
3195at2085	Complete	CP000123.1	98202	99044	+	181.5	209
3266at2085	Complete	CP000123.1	795902	796912	-	236.9	228
3273at2085	Complete	CP000123.1	498691	499581	+	220.1	199
3282at2085	Complete	CP000123.1	829755	830663	-	174.4	262
3319at2085	Complete	CP000123.1	758556	759380	-	237.0	232
3342at2085	Complete	CP000123.1	508728	509954	+	265.4	315
3403at2085	Complete	CP000123.1	131539	132183	+	188.9	177
3406at2085	Complete	CP000123.1	461283	461996	+	248.1	207
3445at2085	Complete	CP000123.1	462007	462555	+	132.8	139
3486at2085	Complete	CP000123.1	93125	93748	+	212.2	168
3487at2085	Complete	CP000123.1	685929	686438	+	101.2	123
3504at2085	Complete	CP000123.1	130252	130986	+	170.5	175
3517at2085	Complete	CP000123.1	180676	181095	+	206.0	117
3531at2085	Complete	CP000123.1	77432	77860	+	222.2	135
3550at2085	Complete	CP000123.1	692084	692644	+	154.2	159
3570at2085	Complete	CP000123.1	172616	173245	+	176.8	156
3640at2085	Complete	CP000123.1	78769	79266	+	142.6	125
3656at2085	Complete	CP000123.1	174332	175144	+	112.4	179
3687at2085	Complete	CP000123.1	583631	584329	+	144.3	160
3833at2085	Complete	CP000123.1	806320	806862	-	215.3	160
3843at2085	Complete	CP000123.1	317795	318697	-	204.9	220
3848at2085	Complete	CP000123.1	878052	878714	+	168.4	173
3895at2085	Complete	CP000123.1	802486	803127	-	165.2	164
3904at2085	Complete	CP000123.1	625920	627206	-	300.4	339
3914at2085	Complete	CP000123.1	809449	809862	-	178.6	117
3920at2085	Complete	CP000123.1	805161	805925	-	211.9	174
3946at2085	Complete	CP000123.1	94287	95147	+	246.5	218
3960at2085	Complete	CP000123.1	790306	790761	-	161.0	124
4055at2085	Complete	CP000123.1	806876	807265	-	126.3	103
4100at2085	Complete	CP000123.1	181185	181652	+	269.8	145
4107at2085	Complete	CP000123.1	124048	124608	+	169.1	160
4128at2085	Complete	CP000123.1	808392	808760	-	163.3	107
4148at2085	Complete	CP000123.1	3214	4014	+	201.7	208
4184at2085	Complete	CP000123.1	808052	808378	-	72.5	86
4221at2085	Complete	CP000123.1	259234	259665	+	103.7	109
4257at2085	Complete	CP000123.1	115629	116075	-	100.5	112
4276at2085	Complete	CP000123.1	250997	251890	+	200.2	169
4293at2085	Complete	CP000123.1	653429	653821	-	126.6	99
4319at2085	Complete	CP000123.1	813798	814106	-	111.9	80
4322at2085	Complete	CP000123.1	789908	790306	-	140.6	110
4324at2085	Complete	CP000123.1	301100	301690	-	123.9	120
4330at2085	Complete	CP000123.1	800909	801274	-	149.4	98
4353at2085	Complete	CP000123.1	804704	805141	-	107.6	97
