#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JXQB01000001.1_667   -            317 1679at2085           -            265   3.3e-81  268.1  13.8   1   1   4.3e-83   4.1e-81  267.8  13.8     3   260     3   277     1   287 0.88 # 812642 # 813592 # 1 # ID=1_667;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.240
JXQB01000001.1_652   -            436 1679at2085           -            265   7.7e-28   93.1  26.2   1   3   1.1e-15   1.1e-13   46.7   0.2   122   176     6    64     1    79 0.82 # 800746 # 802053 # 1 # ID=1_652;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.226
JXQB01000001.1_652   -            436 1679at2085           -            265   7.7e-28   93.1  26.2   2   3   6.7e-13   6.3e-11   37.6   8.7    23   173    80   232    70   244 0.76 # 800746 # 802053 # 1 # ID=1_652;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.226
JXQB01000001.1_652   -            436 1679at2085           -            265   7.7e-28   93.1  26.2   3   3   9.9e-07   9.3e-05   17.4   5.2    23   109   254   352   244   367 0.77 # 800746 # 802053 # 1 # ID=1_652;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.226
JXQB01000001.1_429   -            453 1679at2085           -            265   1.7e-13   46.0  19.2   1   2   3.3e-12   3.1e-10   35.4   2.4    96   173   194   275   185   287 0.77 # 540649 # 542007 # 1 # ID=1_429;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.235
JXQB01000001.1_429   -            453 1679at2085           -            265   1.7e-13   46.0  19.2   2   2     3e-06   0.00028   15.8   9.1    20   110   291   380   281   394 0.78 # 540649 # 542007 # 1 # ID=1_429;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.235
JXQB01000001.1_84    -            197 1679at2085           -            265   3.1e-12   41.9   7.6   1   2   3.3e-14   3.1e-12   41.9   5.5   110   229    13   137     1   168 0.70 # 113797 # 114387 # 1 # ID=1_84;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.225
JXQB01000001.1_84    -            197 1679at2085           -            265   3.1e-12   41.9   7.6   2   2     0.074       6.9    1.5   2.9    14    80    94   162    90   193 0.61 # 113797 # 114387 # 1 # ID=1_84;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.225
JXQB01000001.1_702   -            302 1679at2085           -            265   8.6e-11   37.2   2.5   1   3   9.1e-13   8.6e-11   37.2   2.5   123   180    10    72     4    90 0.82 # 859365 # 860270 # 1 # ID=1_702;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.230
JXQB01000001.1_702   -            302 1679at2085           -            265   8.6e-11   37.2   2.5   2   3      0.19        18    0.1   1.9    55   100   118   169    77   194 0.61 # 859365 # 860270 # 1 # ID=1_702;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.230
JXQB01000001.1_702   -            302 1679at2085           -            265   8.6e-11   37.2   2.5   3   3      0.49        46   -1.2   0.3    62    81   254   273   216   298 0.62 # 859365 # 860270 # 1 # ID=1_702;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.230
