#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JFDO01000004.1_111   -            690 148at2085            -            586         0 1013.6  15.5   1   1  6.5e-306  1.1e-303 1003.7  15.5     1   585    11   686    11   687 0.90 # 137742 # 139811 # -1 # ID=4_111;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.317
JFDO01000004.1_59    -            610 148at2085            -            586   1.8e-44  147.8   5.9   1   3   7.1e-33   1.2e-30  102.1   0.1     2   155     8   160     7   183 0.91 # 69048 # 70877 # 1 # ID=4_59;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.269
JFDO01000004.1_59    -            610 148at2085            -            586   1.8e-44  147.8   5.9   2   3   7.2e-12   1.3e-09   32.7   0.8   235   411   199   394   179   401 0.71 # 69048 # 70877 # 1 # ID=4_59;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.269
JFDO01000004.1_59    -            610 148at2085            -            586   1.8e-44  147.8   5.9   3   3     7e-06    0.0012   13.0   0.0   517   574   402   470   397   476 0.69 # 69048 # 70877 # 1 # ID=4_59;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.269
JFDO01000003.1_55    -            601 148at2085            -            586   5.4e-43  142.9   1.1   1   4   5.8e-30     1e-27   92.5   0.0     1   147     7   155     7   166 0.88 # 78358 # 80160 # -1 # ID=3_55;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.270
JFDO01000003.1_55    -            601 148at2085            -            586   5.4e-43  142.9   1.1   2   4   5.5e-16   9.6e-14   46.3   0.1   220   421   170   386   161   389 0.75 # 78358 # 80160 # -1 # ID=3_55;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.270
JFDO01000003.1_55    -            601 148at2085            -            586   5.4e-43  142.9   1.1   3   4     0.044       7.8    0.4   0.0   517   572   402   470   395   478 0.61 # 78358 # 80160 # -1 # ID=3_55;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.270
JFDO01000003.1_55    -            601 148at2085            -            586   5.4e-43  142.9   1.1   4   4      0.35        61   -2.5   0.0   384   417   517   549   514   557 0.79 # 78358 # 80160 # -1 # ID=3_55;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.270
JFDO01000004.1_110   -            396 148at2085            -            586   8.3e-16   53.2   0.6   1   2   1.1e-17     2e-15   51.9   0.5     2   133    14   144    13   162 0.87 # 136423 # 137610 # -1 # ID=4_110;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.360
JFDO01000004.1_110   -            396 148at2085            -            586   8.3e-16   53.2   0.6   2   2      0.17        30   -1.5   0.0   208   236   176   204   167   276 0.70 # 136423 # 137610 # -1 # ID=4_110;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.360
JFDO01000003.1_44    -            621 148at2085            -            586     2e-15   51.9   1.3   1   1   8.3e-17   1.5e-14   49.1   1.3    49   135   152   239   123   255 0.84 # 65381 # 67243 # 1 # ID=3_44;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.278
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/148at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_14232/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_14232/run_mycoplasmatales_odb10/hmmer_output/148at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/148at2085.hmm /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_14232/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Sun Jul 31 23:53:19 2022
# [ok]
