#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
FR668087.1_136       -            601 501at2085            -            526    1e-244  808.8  12.7   1   1  8.9e-247  1.3e-244  808.4  12.7     1   525     1   598     1   599 0.92 # 164666 # 166468 # 1 # ID=1_136;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.276
FR668087.1_391       -            690 501at2085            -            526   3.5e-47  156.9   0.4   1   4   2.4e-35   3.6e-33  110.7   0.0     5   138     9   146     6   193 0.88 # 471799 # 473868 # 1 # ID=1_391;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.316
FR668087.1_391       -            690 501at2085            -            526   3.5e-47  156.9   0.4   2   4       1.5   2.2e+02   -4.1   0.0   152   173   260   281   253   282 0.88 # 471799 # 473868 # 1 # ID=1_391;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.316
FR668087.1_391       -            690 501at2085            -            526   3.5e-47  156.9   0.4   3   4   6.5e-13   9.8e-11   36.7   0.0   172   343   304   488   293   509 0.77 # 471799 # 473868 # 1 # ID=1_391;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.316
FR668087.1_391       -            690 501at2085            -            526   3.5e-47  156.9   0.4   4   4    0.0018      0.27    5.5   0.0   346   410   603   673   576   680 0.75 # 471799 # 473868 # 1 # ID=1_391;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.316
FR668087.1_442       -            610 501at2085            -            526   4.4e-37  123.6  11.3   1   2   1.7e-36   2.5e-34  114.5   7.6     1   144     1   147     1   304 0.89 # 540207 # 542036 # -1 # ID=1_442;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.274
FR668087.1_442       -            610 501at2085            -            526   4.4e-37  123.6  11.3   2   2   0.00018     0.026    8.9   0.1   299   373   359   435   331   489 0.77 # 540207 # 542036 # -1 # ID=1_442;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.274
FR668087.1_392       -            396 501at2085            -            526     7e-21   70.2   0.3   1   1   3.7e-22   5.5e-20   67.2   0.3     8   210    14   247    11   317 0.73 # 474000 # 475187 # 1 # ID=1_392;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.359
FR668087.1_147       -            621 501at2085            -            526   3.4e-16   54.7   8.3   1   3   2.4e-18   3.6e-16   54.6   3.2    10   176   125   276   118   330 0.78 # 177634 # 179496 # -1 # ID=1_147;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.281
FR668087.1_147       -            621 501at2085            -            526   3.4e-16   54.7   8.3   2   3      0.26        39   -1.6   0.1   277   285   439   447   399   483 0.56 # 177634 # 179496 # -1 # ID=1_147;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.281
FR668087.1_147       -            621 501at2085            -            526   3.4e-16   54.7   8.3   3   3      0.38        57   -2.1   0.0   376   401   496   521   486   615 0.70 # 177634 # 179496 # -1 # ID=1_147;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.281
FR668087.1_528       -            436 501at2085            -            526   4.3e-08   28.0  11.6   1   2   1.7e-05    0.0025   12.2   1.3    68   173    52   166     2   172 0.79 # 633083 # 634390 # -1 # ID=1_528;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.230
FR668087.1_528       -            436 501at2085            -            526   4.3e-08   28.0  11.6   2   2   5.5e-08   8.3e-06   20.4   3.2    49   167   204   343   184   364 0.72 # 633083 # 634390 # -1 # ID=1_528;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.230
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco/outBusco/M.leachii_990146/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco/outBusco/M.leachii_990146/run_mycoplasmatales_odb10/hmmer_output/501at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/501at2085.hmm /disk3/default/V2/admin/core/data/myco/outBusco/M.leachii_990146/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Sun Jul 31 23:55:32 2022
# [ok]
