#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
LBMF01000002.1_106   -            690 148at2085            -            586         0 1013.6  15.5   1   1  6.5e-306    1e-303 1003.7  15.5     1   585    11   686    11   687 0.90 # 127225 # 129294 # 1 # ID=2_106;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.318
LBMF01000002.1_156   -            610 148at2085            -            586     9e-45  148.6   5.8   1   3   5.2e-33   8.1e-31  102.5   0.1     2   155     8   160     7   174 0.91 # 195749 # 197578 # -1 # ID=2_156;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.269
LBMF01000002.1_156   -            610 148at2085            -            586     9e-45  148.6   5.8   2   3   6.1e-12   9.5e-10   33.0   0.7   227   411   190   394   176   401 0.71 # 195749 # 197578 # -1 # ID=2_156;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.269
LBMF01000002.1_156   -            610 148at2085            -            586     9e-45  148.6   5.8   3   3     7e-06    0.0011   13.0   0.0   517   574   402   470   397   476 0.69 # 195749 # 197578 # -1 # ID=2_156;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.269
LBMF01000003.1_59    -            601 148at2085            -            586   4.7e-43  142.9   1.1   1   4   5.8e-30     9e-28   92.5   0.0     1   147     7   155     7   166 0.88 # 76217 # 78019 # 1 # ID=3_59;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.268
LBMF01000003.1_59    -            601 148at2085            -            586   4.7e-43  142.9   1.1   2   4   5.5e-16   8.5e-14   46.3   0.1   220   421   170   386   161   389 0.75 # 76217 # 78019 # 1 # ID=3_59;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.268
LBMF01000003.1_59    -            601 148at2085            -            586   4.7e-43  142.9   1.1   3   4     0.044       6.9    0.4   0.0   517   572   402   470   395   478 0.61 # 76217 # 78019 # 1 # ID=3_59;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.268
LBMF01000003.1_59    -            601 148at2085            -            586   4.7e-43  142.9   1.1   4   4      0.35        54   -2.5   0.0   384   417   517   549   514   557 0.79 # 76217 # 78019 # 1 # ID=3_59;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.268
LBMF01000002.1_107   -            396 148at2085            -            586   7.4e-16   53.2   0.6   1   2   1.1e-17   1.7e-15   51.9   0.5     2   133    14   144    13   162 0.87 # 129426 # 130613 # 1 # ID=2_107;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.358
LBMF01000002.1_107   -            396 148at2085            -            586   7.4e-16   53.2   0.6   2   2      0.17        26   -1.5   0.0   208   236   176   204   167   276 0.70 # 129426 # 130613 # 1 # ID=2_107;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.358
LBMF01000003.1_70    -            621 148at2085            -            586   3.4e-15   51.0   3.0   1   2   8.3e-17   1.3e-14   49.1   1.3    49   135   152   239   123   255 0.84 # 89132 # 90994 # -1 # ID=3_70;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.277
LBMF01000003.1_70    -            621 148at2085            -            586   3.4e-15   51.0   3.0   2   2      0.18        27   -1.6   0.0    51    99   527   575   503   583 0.83 # 89132 # 90994 # -1 # ID=3_70;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.277
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/148at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_14DL0024/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_14DL0024/run_mycoplasmatales_odb10/hmmer_output/148at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/148at2085.hmm /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_14DL0024/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Sun Jul 31 23:53:44 2022
# [ok]
