#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
LBMF01000002.1_152   -            298 4276at2085           -            173   8.6e-61  200.2   0.3   1   1   9.2e-63   1.4e-60  199.5   0.3     1   170     2   183     2   186 0.92 # 191788 # 192681 # 1 # ID=2_152;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.248
LBMF01000003.1_26    -            197 4276at2085           -            173   0.00036   15.9   1.3   1   1   3.1e-06   0.00049   15.5   1.3     6   116    25   136    21   194 0.75 # 36772 # 37362 # -1 # ID=3_26;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.227
LBMF01000002.1_132   -            362 4276at2085           -            173   0.00088   14.6   1.4   1   3   0.00049     0.076    8.3   0.0     3    23    30    50    28    58 0.83 # 169555 # 170640 # 1 # ID=2_132;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.271
LBMF01000002.1_132   -            362 4276at2085           -            173   0.00088   14.6   1.4   2   3      0.85   1.3e+02   -2.2   0.0   126   147   101   122    91   131 0.72 # 169555 # 170640 # 1 # ID=2_132;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.271
LBMF01000002.1_132   -            362 4276at2085           -            173   0.00088   14.6   1.4   3   3    0.0093       1.4    4.2   0.1   109   149   230   272   223   306 0.81 # 169555 # 170640 # 1 # ID=2_132;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.271
LBMF01000004.1_38    -            208 4276at2085           -            173    0.0018   13.7   0.7   1   2   0.00067       0.1    7.9   0.0     2    25     4    27     3    46 0.84 # 39247 # 39870 # 1 # ID=4_38;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=3-4bp;gc_cont=0.244
LBMF01000004.1_38    -            208 4276at2085           -            173    0.0018   13.7   0.7   2   2     0.008       1.2    4.4   0.1   102   142   120   161    72   181 0.77 # 39247 # 39870 # 1 # ID=4_38;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=3-4bp;gc_cont=0.244
LBMF01000004.1_127   -            413 4276at2085           -            173     0.023   10.0   0.0   1   5   0.00015     0.023   10.0   0.0     6    31    42    67    39   114 0.77 # 150118 # 151356 # -1 # ID=4_127;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.239
LBMF01000004.1_127   -            413 4276at2085           -            173     0.023   10.0   0.0   2   5       1.2   1.8e+02   -2.7   0.0    64    81   150   167   147   181 0.71 # 150118 # 151356 # -1 # ID=4_127;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.239
LBMF01000004.1_127   -            413 4276at2085           -            173     0.023   10.0   0.0   3   5      0.12        19    0.5   0.1    67    99   189   221   181   229 0.88 # 150118 # 151356 # -1 # ID=4_127;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.239
LBMF01000004.1_127   -            413 4276at2085           -            173     0.023   10.0   0.0   4   5         2   3.1e+02   -3.4   0.0    38    55   237   254   234   269 0.80 # 150118 # 151356 # -1 # ID=4_127;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.239
LBMF01000004.1_127   -            413 4276at2085           -            173     0.023   10.0   0.0   5   5       1.7   2.7e+02   -3.2   0.7    60    80   379   396   368   405 0.54 # 150118 # 151356 # -1 # ID=4_127;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.239
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/4276at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14DL0024/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14DL0024/run_mycoplasmatales_odb10/hmmer_output/4276at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/4276at2085.hmm /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14DL0024/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Mon Aug  1 00:26:48 2022
# [ok]
