#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JFDO01000004.1_63    -            298 4276at2085           -            173   9.7e-61  200.2   0.3   1   1   9.2e-63   1.6e-60  199.5   0.3     1   170     2   183     2   186 0.92 # 73945 # 74838 # -1 # ID=4_63;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.246
JFDO01000004.1_24    -            197 4276at2085           -            173   0.00014   17.4   1.0   1   1     1e-06   0.00018   17.0   1.0     6   116    25   136    21   194 0.76 # 22344 # 22934 # 1 # ID=4_24;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.223
JFDO01000027.1_40    -            250 4276at2085           -            173   0.00018   17.0   1.7   1   1   1.9e-06   0.00033   16.2   1.7     3    80    32   116    30   147 0.68 # 42615 # 43364 # -1 # ID=27_40;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.225
JFDO01000016.1_38    -            208 4276at2085           -            173    0.0019   13.7   0.8   1   2   0.00067      0.12    7.9   0.0     2    25     4    27     3    46 0.84 # 38685 # 39308 # 1 # ID=16_38;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=3-4bp;gc_cont=0.244
JFDO01000016.1_38    -            208 4276at2085           -            173    0.0019   13.7   0.8   2   2    0.0076       1.3    4.4   0.1   101   142   119   161    72   181 0.75 # 38685 # 39308 # 1 # ID=16_38;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=3-4bp;gc_cont=0.244
JFDO01000017.1_42    -            413 4276at2085           -            173    0.0098   11.4   0.1   1   5   5.6e-05    0.0098   11.4   0.1     6    50    42    84    38   115 0.78 # 55955 # 57193 # -1 # ID=17_42;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.240
JFDO01000017.1_42    -            413 4276at2085           -            173    0.0098   11.4   0.1   2   5      0.58     1e+02   -1.7   0.0    64    82   150   168   147   185 0.76 # 55955 # 57193 # -1 # ID=17_42;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.240
JFDO01000017.1_42    -            413 4276at2085           -            173    0.0098   11.4   0.1   3   5      0.19        33   -0.1   0.1    67    98   189   220   184   231 0.87 # 55955 # 57193 # -1 # ID=17_42;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.240
JFDO01000017.1_42    -            413 4276at2085           -            173    0.0098   11.4   0.1   4   5      0.44        77   -1.3   0.0    18    56   217   255   215   274 0.76 # 55955 # 57193 # -1 # ID=17_42;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.240
JFDO01000017.1_42    -            413 4276at2085           -            173    0.0098   11.4   0.1   5   5       2.8     5e+02   -3.9   0.3    46    63   382   399   372   404 0.55 # 55955 # 57193 # -1 # ID=17_42;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.240
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/4276at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14232/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14232/run_mycoplasmatales_odb10/hmmer_output/4276at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/4276at2085.hmm /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14232/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Mon Aug  1 00:26:23 2022
# [ok]
