#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JFDO01000016.1_44    -            308 1978at2085           -            276   2.6e-99  327.9  17.1   1   1  3.1e-101   3.4e-99  327.6  17.1     1   276     3   306     3   306 0.91 # 45110 # 46033 # -1 # ID=16_44;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.208
JFDO01000017.1_42    -            413 1978at2085           -            276   2.4e-15   52.6   1.9   1   2   2.1e-17   2.4e-15   52.6   1.9     1   112    10   120    10   130 0.85 # 55955 # 57193 # -1 # ID=17_42;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.240
JFDO01000017.1_42    -            413 1978at2085           -            276   2.4e-15   52.6   1.9   2   2      0.57        62   -1.3   0.1   216   264   196   244   148   251 0.67 # 55955 # 57193 # -1 # ID=17_42;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.240
JFDO01000027.1_9     -            268 1978at2085           -            276   2.7e-11   39.3  11.9   1   1   2.8e-12   3.1e-10   35.8  11.9     5   211     4   237     1   251 0.73 # 6831 # 7634 # 1 # ID=27_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.192
JFDO01000004.1_129   -            354 1978at2085           -            276   1.5e-08   30.2   5.6   1   2      0.44        48   -0.9   0.1    70    98     2    31     1    44 0.79 # 158566 # 159627 # -1 # ID=4_129;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.246
JFDO01000004.1_129   -            354 1978at2085           -            276   1.5e-08   30.2   5.6   2   2   9.5e-10     1e-07   27.5   2.6    14   175    87   255    84   273 0.76 # 158566 # 159627 # -1 # ID=4_129;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.246
JFDO01000011.1_2     -            651 1978at2085           -            276   6.7e-08   28.1   0.3   1   2   3.6e-09     4e-07   25.6   0.0    26   103   200   285   180   360 0.79 # 318 # 2270 # -1 # ID=11_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.301
JFDO01000011.1_2     -            651 1978at2085           -            276   6.7e-08   28.1   0.3   2   2      0.36        40   -0.7   0.3   198   233   570   604   513   632 0.52 # 318 # 2270 # -1 # ID=11_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.301
JFDO01000017.1_43    -            780 1978at2085           -            276     1e-05   21.0   5.0   1   3      0.86        94   -1.9   0.3    56   100   173   217   157   260 0.64 # 57306 # 59645 # -1 # ID=17_43;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.267
JFDO01000017.1_43    -            780 1978at2085           -            276     1e-05   21.0   5.0   2   3   2.2e-07   2.4e-05   19.7   0.1     8    64   327   384   323   396 0.75 # 57306 # 59645 # -1 # ID=17_43;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.267
JFDO01000017.1_43    -            780 1978at2085           -            276     1e-05   21.0   5.0   3   3     0.044       4.9    2.3   0.0   129   166   466   503   409   519 0.84 # 57306 # 59645 # -1 # ID=17_43;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.267
JFDO01000004.1_143   -            513 1978at2085           -            276     1e-05   21.0   0.2   1   2   7.6e-06   0.00083   14.7   0.0    19    57    16    54     7    64 0.88 # 175461 # 176999 # -1 # ID=4_143;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.261
JFDO01000004.1_143   -            513 1978at2085           -            276     1e-05   21.0   0.2   2   2     0.024       2.6    3.2   0.0    35    57   350   372   345   374 0.89 # 175461 # 176999 # -1 # ID=4_143;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.261
JFDO01000025.1_4     -            312 1978at2085           -            276   4.8e-05   18.7   5.3   1   1   2.7e-06   0.00029   16.2   5.3    28    99   145   228   127   302 0.70 # 2658 # 3593 # -1 # ID=25_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.192
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1978at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14232/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14232/run_mycoplasmatales_odb10/hmmer_output/1978at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1978at2085.hmm /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_14232/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Mon Aug  1 00:26:20 2022
# [ok]
