#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
LBMF01000004.1_45    -            308 1978at2085           -            276   3.7e-99  327.3  17.5   1   1  3.7e-101   4.8e-99  326.9  17.5     1   276     3   306     3   306 0.91 # 45670 # 46593 # -1 # ID=4_45;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.208
LBMF01000004.1_127   -            413 1978at2085           -            276   8.7e-16   53.8   1.4   1   2   6.7e-18   8.7e-16   53.8   1.4     1   112    10   120    10   130 0.85 # 150118 # 151356 # -1 # ID=4_127;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.239
LBMF01000004.1_127   -            413 1978at2085           -            276   8.7e-16   53.8   1.4   2   2      0.69        89   -2.0   0.1   217   263   197   243   152   249 0.62 # 150118 # 151356 # -1 # ID=4_127;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.239
LBMF01000001.1_53    -            651 1978at2085           -            276   5.9e-08   28.1   0.3   1   2   2.7e-09   3.5e-07   25.6   0.0    26   103   200   285   180   360 0.79 # 63497 # 65449 # 1 # ID=1_53;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.300
LBMF01000001.1_53    -            651 1978at2085           -            276   5.9e-08   28.1   0.3   2   2      0.27        35   -0.7   0.3   198   233   570   604   513   632 0.52 # 63497 # 65449 # 1 # ID=1_53;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.300
LBMF01000002.1_76    -            513 1978at2085           -            276   9.1e-06   21.0   0.2   1   2   5.7e-06   0.00074   14.7   0.0    19    57    16    54     7    64 0.88 # 93253 # 94791 # 1 # ID=2_76;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.263
LBMF01000002.1_76    -            513 1978at2085           -            276   9.1e-06   21.0   0.2   2   2     0.018       2.3    3.2   0.0    35    57   350   372   345   374 0.89 # 93253 # 94791 # 1 # ID=2_76;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.263
LBMF01000004.1_128   -            780 1978at2085           -            276   1.1e-05   20.7   5.5   1   3      0.64        84   -1.9   0.3    56   100   173   217   157   260 0.64 # 151469 # 153808 # -1 # ID=4_128;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.267
LBMF01000004.1_128   -            780 1978at2085           -            276   1.1e-05   20.7   5.5   2   3   1.6e-07   2.1e-05   19.8   0.1     8    65   327   385   323   400 0.76 # 151469 # 153808 # -1 # ID=4_128;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.267
LBMF01000004.1_128   -            780 1978at2085           -            276   1.1e-05   20.7   5.5   3   3     0.028       3.7    2.6   0.1   128   166   465   503   404   519 0.79 # 151469 # 153808 # -1 # ID=4_128;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.267
LBMF01000007.1_4     -            312 1978at2085           -            276   4.4e-05   18.7   5.3   1   1     2e-06   0.00026   16.2   5.3    28    99   145   228   127   302 0.70 # 2855 # 3790 # -1 # ID=7_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.191
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1978at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_14DL0024/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_14DL0024/run_mycoplasmatales_odb10/hmmer_output/1978at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1978at2085.hmm /disk3/default/V2/admin/core/data/myco/outBusco/Mcc_14DL0024/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Sun Jul 31 23:53:46 2022
# [ok]
