#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CP000123.1_538       -            317 1679at2085           -            265   3.3e-81  268.1  13.8   1   1   3.4e-83   4.1e-81  267.8  13.8     3   260     3   277     1   287 0.88 # 652386 # 653336 # -1 # ID=1_538;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.239
CP000123.1_572       -            436 1679at2085           -            265   7.6e-28   93.1  26.2   1   3   8.8e-16   1.1e-13   46.7   0.2   122   176     6    64     1    79 0.82 # 688308 # 689615 # -1 # ID=1_572;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.226
CP000123.1_572       -            436 1679at2085           -            265   7.6e-28   93.1  26.2   2   3   5.2e-13   6.3e-11   37.6   8.7    23   173    80   232    70   244 0.76 # 688308 # 689615 # -1 # ID=1_572;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.226
CP000123.1_572       -            436 1679at2085           -            265   7.6e-28   93.1  26.2   3   3   7.7e-07   9.2e-05   17.4   5.2    23   109   254   352   244   367 0.77 # 688308 # 689615 # -1 # ID=1_572;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.226
CP000123.1_793       -            453 1679at2085           -            265   4.4e-13   44.7  19.1   1   2   2.6e-12   3.1e-10   35.4   2.4    96   173   194   275   185   287 0.77 # 946228 # 947586 # -1 # ID=1_793;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.236
CP000123.1_793       -            453 1679at2085           -            265   4.4e-13   44.7  19.1   2   2   5.9e-06   0.00071   14.5   8.9    20   110   291   380   281   394 0.78 # 946228 # 947586 # -1 # ID=1_793;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.236
CP000123.1_248       -            197 1679at2085           -            265   3.1e-12   41.9   7.6   1   2   2.6e-14   3.1e-12   41.9   5.5   110   229    13   137     1   168 0.70 # 301100 # 301690 # -1 # ID=1_248;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.228
CP000123.1_248       -            197 1679at2085           -            265   3.1e-12   41.9   7.6   2   2     0.057       6.9    1.5   2.9    14    80    94   162    90   193 0.61 # 301100 # 301690 # -1 # ID=1_248;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.228
CP000123.1_503       -            302 1679at2085           -            265   3.3e-09   32.0   8.4   1   3   2.7e-11   3.3e-09   32.0   8.4   123   179    10    71     3   148 0.77 # 605710 # 606615 # -1 # ID=1_503;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.220
CP000123.1_503       -            302 1679at2085           -            265   3.3e-09   32.0   8.4   2   3      0.17        21   -0.1   2.3    55    97   118   166    81   194 0.57 # 605710 # 606615 # -1 # ID=1_503;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.220
CP000123.1_503       -            302 1679at2085           -            265   3.3e-09   32.0   8.4   3   3      0.37        45   -1.2   0.4    62    81   254   273   216   298 0.62 # 605710 # 606615 # -1 # ID=1_503;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.220
CP000123.1_778       -            365 1679at2085           -            265   3.3e-07   25.5   2.8   1   2   3.4e-09     4e-07   25.2   0.1   120   154     3    36     1    51 0.87 # 929506 # 930600 # -1 # ID=1_778;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.274
CP000123.1_778       -            365 1679at2085           -            265   3.3e-07   25.5   2.8   2   2      0.22        26   -0.5   0.3    48   110   195   252   187   268 0.61 # 929506 # 930600 # -1 # ID=1_778;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.274
CP000123.1_528       -            434 1679at2085           -            265   2.1e-05   19.6   0.1   1   2   1.7e-07   2.1e-05   19.6   0.1   124   174   164   218   151   228 0.80 # 640031 # 641332 # -1 # ID=1_528;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.264
CP000123.1_528       -            434 1679at2085           -            265   2.1e-05   19.6   0.1   2   2     0.064       7.7    1.3   5.4    50   108   274   336   263   354 0.74 # 640031 # 641332 # -1 # ID=1_528;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.264
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_ATCC27343/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_ATCC27343/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /disk3/default/V2/admin/core/data/myco_out/outBusco/Mcc_ATCC27343/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Mon Aug  1 00:27:10 2022
# [ok]
