#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
FR668087.1_511       -            317 1679at2085           -            265   3.2e-81  268.2  14.0   1   1   3.5e-83     4e-81  267.9  14.0     3   260     3   277     1   287 0.88 # 618696 # 619646 # -1 # ID=1_511;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.241
FR668087.1_528       -            436 1679at2085           -            265     2e-28   95.1  23.7   1   3   1.3e-15   1.4e-13   46.4   0.2   122   176     6    64     1    79 0.82 # 633083 # 634390 # -1 # ID=1_528;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.230
FR668087.1_528       -            436 1679at2085           -            265     2e-28   95.1  23.7   2   3   8.1e-14   9.1e-12   40.5   7.4    22   173    79   232    67   254 0.77 # 633083 # 634390 # -1 # ID=1_528;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.230
FR668087.1_528       -            436 1679at2085           -            265     2e-28   95.1  23.7   3   3   1.2e-06   0.00013   17.0   4.1    23   105   254   348   248   365 0.75 # 633083 # 634390 # -1 # ID=1_528;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.230
FR668087.1_786       -            453 1679at2085           -            265   1.6e-13   46.3  20.8   1   2   2.7e-12     3e-10   35.5   2.4    96   173   194   275   182   288 0.77 # 903400 # 904758 # -1 # ID=1_786;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.244
FR668087.1_786       -            453 1679at2085           -            265   1.6e-13   46.3  20.8   2   2   2.3e-06   0.00026   16.1  10.7    20   112   291   382   284   399 0.81 # 903400 # 904758 # -1 # ID=1_786;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.244
FR668087.1_482       -            197 1679at2085           -            265   5.8e-12   41.1   7.5   1   2   6.2e-14     7e-12   40.9   5.3   109   224    12   132     1   169 0.70 # 591158 # 591748 # -1 # ID=1_482;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.223
FR668087.1_482       -            197 1679at2085           -            265   5.8e-12   41.1   7.5   2   2     0.064       7.2    1.5   2.0    14    81    94   163    91   193 0.58 # 591158 # 591748 # -1 # ID=1_482;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.223
FR668087.1_312       -            302 1679at2085           -            265   7.8e-11   37.4   2.4   1   3   6.9e-13   7.8e-11   37.4   2.4   123   179    10    71     3    86 0.81 # 377951 # 378856 # -1 # ID=1_312;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.221
FR668087.1_312       -            302 1679at2085           -            265   7.8e-11   37.4   2.4   2   3      0.19        21   -0.1   2.2    55    98   118   167    81   195 0.58 # 377951 # 378856 # -1 # ID=1_312;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.221
FR668087.1_312       -            302 1679at2085           -            265   7.8e-11   37.4   2.4   3   3      0.43        48   -1.2   0.4    62    81   254   273   216   298 0.62 # 377951 # 378856 # -1 # ID=1_312;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.221
FR668087.1_772       -            365 1679at2085           -            265   1.4e-08   30.1   3.4   1   2   4.6e-09   5.2e-07   24.9   0.1   120   154     3    36     1    51 0.86 # 886723 # 887817 # -1 # ID=1_772;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.278
FR668087.1_772       -            365 1679at2085           -            265   1.4e-08   30.1   3.4   2   2    0.0054       0.6    5.0   0.8    48   113   195   255   188   267 0.78 # 886723 # 887817 # -1 # ID=1_772;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.278
FR668087.1_340       -            434 1679at2085           -            265   2.6e-06   22.6   7.7   1   2   1.6e-07   1.8e-05   19.8   0.0   124   174   164   218   149   229 0.77 # 410835 # 412136 # -1 # ID=1_340;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.265
FR668087.1_340       -            434 1679at2085           -            265   2.6e-06   22.6   7.7   2   2     0.021       2.4    3.1   5.0    50   108   274   336   261   371 0.72 # 410835 # 412136 # -1 # ID=1_340;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.265
FR668087.1_230       -            368 1679at2085           -            265   0.00014   16.9  15.8   1   2   1.2e-06   0.00014   16.9  15.8    13   144    54   181    51   221 0.77 # 281835 # 282938 # -1 # ID=1_230;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.196
FR668087.1_230       -            368 1679at2085           -            265   0.00014   16.9  15.8   2   2      0.21        24   -0.2   1.4   179   234   266   318   262   337 0.72 # 281835 # 282938 # -1 # ID=1_230;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.196
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm
# Target file:     /disk3/default/V2/admin/core/data/myco/outBusco/M.leachii_990146/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /disk3/default/V2/admin/core/data/myco/outBusco/M.leachii_990146/run_mycoplasmatales_odb10/hmmer_output/1679at2085.out --cpu 1 /root/busco_downloads/lineages/mycoplasmatales_odb10/hmms/1679at2085.hmm /disk3/default/V2/admin/core/data/myco/outBusco/M.leachii_990146/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /root
# Date:            Sun Jul 31 23:55:27 2022
# [ok]
